"o","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0","many2many","all","2.5%","mean",1.61490920031922,12.7155,29.7,1.01277751389359,8.655125,10,0.469621342675869,91.669375,1833.3875
"0","many2many","all","2.5%","var",0.000336519339587218,0.0250729166666665,0,1.45378550128036e-05,0.00136111111111111,0,0.000300044501159456,0.0890215277777769,35.6086111111111
"0","many2many","all","50%","mean",1.86810081860863,16.0425,30,1.06225176545474,9.415,10,0.726048215662176,95.2175,1904.35
"0","many2many","all","50%","var",0.00110801358823101,0.076736111111111,0,0.000103658795363233,0.00802777777777776,0,0.00253457587610863,0.249347222222221,99.7388888888889
"0","many2many","all","97.5%","mean",2.35878091877473,18.582375,30,1.15565564163924,9.874125,10,0.863859102514873,95.46025,1909.205
"0","many2many","all","97.5%","var",0.00325636680824217,0.170344444444444,0.233333333333333,0.000387705340367582,0.0225743055555555,0,0.0274203517050109,5.12908402777778,2051.63361111111
"0","many2many","all","mean","mean",1.89755859223768,15.94455,29.971,1.06840342046832,9.372,10,0.704827181137812,94.96145,1899.229
"0","many2many","all","mean","var",0.00133590647188784,0.0819491666666666,0.0225555555555556,0.000127439890178481,0.00936722222222222,0,0.00493292902514512,0.717800833333333,287.120333333333
"0","many2many","all","var","mean",0.0350858856845083,2.24450358333333,0.00793838383838388,0.00143600972699835,0.104212626262626,0,0.0122124673272677,0.803697623737374,321.479049494949
"0","many2many","all","var","var",6.77423359093537e-07,0.00143982424639918,0.00374973188676892,7.85579642634463e-09,3.44105028681881e-05,0,6.8942612644834e-05,1.89562309226611,303299.694762576
"0","many2many","none","2.5%","mean",1.07475994866266,26.8835,30,1,9.93,10,-0.0329420988636527,94.952375,1899.0475
"0","many2many","none","2.5%","var",3.80427088286875e-05,0.0239284722222222,0,0,0,0,0.0316710007718757,0.0917361111111118,36.6944444444444
"0","many2many","none","50%","mean",1.09374534053355,27.43,30,1.00100502512563,9.99,10,0.0247639000035925,95.215,1904.3
"0","many2many","none","50%","var",0.000144885632343819,0.0915138888888886,0,4.48922445841739e-06,0.000444444444444457,0,0.0560757637986467,0.220055555555556,88.0222222222222
"0","many2many","none","97.5%","mean",1.11606987296232,27.91525,30,1.00709576859618,10,10,0.117986530000379,95.533125,1910.6625
"0","many2many","none","97.5%","var",0.00029905642504885,0.192857638888889,0,5.90664623860709e-05,0.00557777777777776,0,0.0658856688181236,0.556307638888889,222.523055555556
"0","many2many","none","mean","mean",1.09437133958248,27.4189,30,1.00191837737007,9.98105,10,0.0372258758385192,95.23115,1904.623
"0","many2many","none","mean","var",0.000154109753523951,0.09625,0,9.04531046727194e-06,0.000871944444444449,0,0.0509547609890698,0.240828611111111,96.3314444444444
"0","many2many","none","var","mean",0.000121058180926049,0.0755230202020203,0,1.2142606221982e-05,0.00116024999999999,0,0.00642657286418482,0.0229660883838384,9.18643535353532
"0","many2many","none","var","var",5.61408238355221e-09,0.00211928815937149,0,2.21011404459654e-10,1.92765455480733e-06,0,0.000343946482806823,0.0126528232331805,2024.45171730889
"0","many2many","opposite","2.5%","mean",1.280898705815,17.97775,30,1.00050251256281,9.453,10,0.139746617605628,94.95975,1899.195
"0","many2many","opposite","2.5%","var",0.000106190739622827,0.0212500000000001,0,2.52518875785978e-06,0.000250000000000007,0,0.000822232719295978,0.0817527777777782,32.7011111111111
"0","many2many","opposite","50%","mean",1.39499179694014,21.51,30,1.01115757180144,9.89,10,0.661508121338375,95.225,1904.5
"0","many2many","opposite","50%","var",0.000376575786218082,0.0808055555555554,0,3.70730684899877e-05,0.00333333333333331,0,0.00650394200848318,0.217027777777776,86.8111111111111
"0","many2many","opposite","97.5%","mean",1.66905337254045,23.426,30,1.05796756838418,9.995,10,0.844163059837051,95.573375,1911.4675
"0","many2many","opposite","97.5%","var",0.000974529870265257,0.179803472222222,0,0.000167414668970367,0.0136,0,0.041958100540363,0.401289583333333,160.515833333333
"0","many2many","opposite","mean","mean",1.4269657209547,21.1373,29.999,1.01803385798349,9.8261,10,0.616674006880582,95.2471,1904.942
"0","many2many","opposite","mean","var",0.000412436272646343,0.09012,0.001,4.32266853713654e-05,0.00384333333333333,0,0.0109210758018951,0.227244444444444,90.8977777777778
"0","many2many","opposite","var","mean",0.0114461663618792,2.23786435353535,0.000100000000000003,0.000315237331429038,0.0279139292929292,0,0.0354382540474515,0.0241278686868685,9.65114747474742
"0","many2many","opposite","var","var",4.90827476869599e-08,0.00200693127073201,1e-04,1.63553441936822e-09,1.14299401421623e-05,0,0.000155787128998137,0.00900951134804837,1441.52181568774
"0","many2many","same","2.5%","mean",1.29552799913583,18.4965,30,1.00050251256281,9.455125,10,0.258289617520054,94.860375,1897.2075
"0","many2many","same","2.5%","var",0.000122155758576246,0.0271972222222223,0,2.52518875785978e-06,0.000250000000000007,0,0.00106751139278308,0.0778055555555539,31.1222222222222
"0","many2many","same","50%","mean",1.40771745520917,21.315,30,1.01270106818498,9.875,10,0.649223922625868,95.28,1905.6
"0","many2many","same","50%","var",0.000401448778689885,0.0877777777777777,0,2.95984607613035e-05,0.00279166666666666,0,0.008115189605419,0.239583333333334,95.8333333333333
"0","many2many","same","97.5%","mean",1.62237366321769,23.161,30,1.05772978071482,9.995,10,0.836028276374675,95.4905,1909.81
"0","many2many","same","97.5%","var",0.000872308580359253,0.185905555555555,0,0.000148911721986333,0.0128916666666667,0,0.0448023579008765,0.55721597222222,222.886388888889
"0","many2many","same","mean","mean",1.4214282576197,21.1816,29.998,1.01662491657574,9.83885,10,0.640337409808641,95.2065,1904.13
"0","many2many","same","mean","var",0.000426820055963842,0.0928305555555555,0.002,4.13422105714741e-05,0.00373083333333333,0,0.011271415018777,0.28579,114.316
"0","many2many","same","var","mean",0.00723524176075808,1.55173125252525,0.000197979797979804,0.000220403580349472,0.0197832601010101,0,0.0201232749887622,0.252840151515152,101.136060606061
"0","many2many","same","var","var",4.39144462277734e-08,0.00186103221255767,0.000197979797979798,1.53955114248443e-09,1.09659355125328e-05,0,0.000165654856093131,0.0972352013081435,15557.6322093029
"0","one2many","all","2.5%","mean",1.46330887561391,14.30975,29.9,1.07727652230964,7.311375,10,0.623723064255301,90.70275,1814.055
"0","one2many","all","2.5%","var",0.000238922165936967,0.0241583333333334,0,6.00755539696411e-05,0.00338611111111109,0,9.9521794413513e-05,0.0791833333333341,31.6733333333333
"0","one2many","all","50%","mean",1.71626688177447,17.4825,30,1.19611784699463,8.3625,10,0.864663506767954,95.1925,1903.85
"0","one2many","all","50%","var",0.000557928739507177,0.0542916666666668,0,0.000260973341978147,0.0134166666666666,0,0.000860107558773299,0.214722222222222,85.8888888888889
"0","one2many","all","97.5%","mean",2.09678666738206,20.5065,30,1.36815572098134,9.284125,10,0.950337423608519,95.51025,1910.205
"0","one2many","all","97.5%","var",0.00155106986920099,0.135111111111111,0.1,0.000787048383752121,0.0298222222222222,0,0.012005303180545,6.41465208333332,2565.86083333333
"0","one2many","all","mean","mean",1.73744958781504,17.418,29.994,1.20395822808838,8.34625,10,0.843618855127784,94.76315,1895.263
"0","one2many","all","mean","var",0.000651149747355392,0.0629244444444445,0.00533333333333333,0.000312752637460549,0.0140297222222222,0,0.00220831509040926,0.829958611111111,331.983444444444
"0","one2many","all","var","mean",0.0272946046469019,2.62483232323232,0.00117575757575759,0.00697147281797998,0.321138068181818,0,0.00808150181896089,1.5885018459596,635.400738383839
"0","one2many","all","var","var",1.31723903714149e-07,0.00105755985908468,0.000824242424242424,4.37303093987098e-08,5.13176869778027e-05,0,1.30685812615092e-05,4.19246963022969,670795.14083675
"0","one2many","none","2.5%","mean",1.03721357618148,28.682375,30,1,9.867375,10,0.169287893069949,94.931375,1898.6275
"0","one2many","none","2.5%","var",2.3992248881049e-05,0.0184138888888889,0,0,0,0,0.0317288931677715,0.0749270833333336,29.9708333333333
"0","one2many","none","50%","mean",1.04209266526637,28.79,30,1.0050583129103,9.95,10,0.274779635578907,95.2675,1905.35
"0","one2many","none","50%","var",6.42341742280413e-05,0.0488472222222223,0,2.33746850585446e-05,0.00224999999999998,0,0.0394635134783508,0.20375,81.5
"0","one2many","none","97.5%","mean",1.04597632407289,28.92525,30,1.0134999440593,10,10,0.433947406343556,95.552,1911.04
"0","one2many","none","97.5%","var",0.000137438378117941,0.10485,0,8.75036101496095e-05,0.0082027777777778,0,0.0613049827910803,0.416286111111111,166.514444444444
"0","one2many","none","mean","mean",1.04192726491885,28.7946,30,1.00581534100953,9.9426,10,0.300096106655866,95.2664,1905.328
"0","one2many","none","mean","var",6.91896311735937e-05,0.0527427777777778,0,2.75000749033744e-05,0.00263222222222222,0,0.043399948206319,0.217909444444445,87.1637777777778
"0","one2many","none","var","mean",5.83620338569671e-06,0.00445690909090909,0,1.82758555573088e-05,0.00175882828282828,0,0.00725638307951786,0.026714686868687,10.6858747474748
"0","one2many","none","var","var",9.64818200464817e-10,0.000556093771355531,0,6.29912713047927e-10,5.40502431724652e-06,0,0.000136817475986947,0.00972290225745108,1555.66436119217
"0","one2many","opposite","2.5%","mean",1.20257733150854,19.913,30,1.01880079165932,8.61975,10,0.30759945607705,94.985875,1899.7175
"0","one2many","opposite","2.5%","var",9.26282956409359e-05,0.0282256944444444,0,2.47126893535478e-05,0.00216388888888886,0,0.000300976225071106,0.0545277777777776,21.8111111111111
"0","one2many","opposite","50%","mean",1.31182607078814,22.8725,30,1.06820071411827,9.3625,10,0.81374759645619,95.2675,1905.35
"0","one2many","opposite","50%","var",0.000225938179285265,0.06725,0,0.000111507839402681,0.00822222222222222,0,0.00252111130894345,0.203847222222221,81.5388888888889
"0","one2many","opposite","97.5%","mean",1.50696062291983,24.951,30,1.16035815867326,9.81625,10,0.930644525058131,95.51025,1910.205
"0","one2many","opposite","97.5%","var",0.000525220313611619,0.147327083333333,0,0.000333156169287997,0.0199229166666667,0,0.0396144464127422,0.457924999999999,183.17
"0","one2many","opposite","mean","mean",1.32107188507597,22.7804,30,1.07341457463541,9.3296,10,0.755885953540421,95.264,1905.28
"0","one2many","opposite","mean","var",0.000242972743147902,0.0720327777777778,0,0.000126658008752797,0.00913833333333334,0,0.00722511201699249,0.228583333333333,91.4333333333333
"0","one2many","opposite","var","mean",0.00558464891697962,1.5189862020202,0,0.00161157563425268,0.116650848484848,0,0.0252538545019153,0.0219737373737373,8.78949494949495
"0","one2many","opposite","var","var",1.37109602985671e-08,0.00111234891164734,0,6.35108465722267e-09,2.39578342062601e-05,0,0.000117610003513431,0.0126382620027435,2022.12192043896
"0","one2many","same","2.5%","mean",1.20307921515055,19.816375,30,1.0142592246525,8.591125,10,0.388201338775205,94.905125,1898.1025
"0","one2many","same","2.5%","var",6.34762870762559e-05,0.0197083333333335,0,2.77599962536181e-05,0.00256458333333334,0,0.00018834145727385,0.0749243055555555,29.9697222222222
"0","one2many","same","50%","mean",1.31871412678991,22.7525,30,1.06819690155557,9.3625,10,0.827449823568965,95.2675,1905.35
"0","one2many","same","50%","var",0.000228094424279003,0.0670277777777777,0,0.000111582577849108,0.00840277777777776,0,0.00249455296660264,0.235694444444443,94.2777777777778
"0","one2many","same","97.5%","mean",1.51419461169748,24.938375,30,1.16420925920326,9.859875,10,0.927556251664909,95.45575,1909.115
"0","one2many","same","97.5%","var",0.000688829951287482,0.158666666666666,0,0.000284711218784406,0.0171388888888888,0,0.0438785167775376,1.56846458333332,627.385833333327
"0","one2many","same","mean","mean",1.33544518541973,22.5508,29.996,1.07541394581846,9.3117,10,0.773361494043171,95.2424,1904.848
"0","one2many","same","mean","var",0.000256818852733623,0.0694977777777778,0.00266666666666667,0.000118407720939931,0.00854055555555555,0,0.00633836448560457,0.336980555555556,134.792222222222
"0","one2many","same","var","mean",0.00732254575945375,1.88146096969697,0.00159999999999999,0.00157876431037943,0.11004203030303,0,0.0271910745139969,0.0296664040404041,11.8665616161616
"0","one2many","same","var","var",2.41249893636393e-08,0.00134193253024068,0.000711111111111111,4.05430872763965e-09,1.55218297169223e-05,0,0.000112376141995648,0.378081680765993,60493.0689225589
"0","one2one","all","2.5%","mean",1.49336789152001,14.54125,29.9475,1.49336789152001,14.54125,29.9475,1,90.443875,1808.8775
"0","one2one","all","2.5%","var",0.00017919727257817,0.0228611111111111,0,0.00017919727257817,0.0228611111111111,0,0,0.0800034722222231,32.0013888888889
"0","one2one","all","50%","mean",1.70433355477602,17.605,30,1.70433355477602,17.605,30,1,95.1725,1903.45
"0","one2one","all","50%","var",0.000571250820424711,0.061236111111111,0,0.000571250820424711,0.061236111111111,0,5.47820073070147e-33,0.219624999999999,87.85
"0","one2one","all","97.5%","mean",2.06118074741386,20.090875,30,2.06118074741386,20.090875,30,1,95.53125,1910.625
"0","one2one","all","97.5%","var",0.00198630864393251,0.125772916666667,0.0524999999999992,0.00198630864393251,0.125772916666667,0.0524999999999992,1.30449654899829e-32,5.9779173611111,2391.16694444444
"0","one2one","all","mean","mean",1.71377685502794,17.6263,29.994,1.71377685502794,17.6263,29.994,1,94.7489,1894.978
"0","one2one","all","mean","var",0.000688331627582897,0.0657927777777778,0.00511111111111111,0.000688331627582897,0.0657927777777778,0.00511111111111111,5.51928723618173e-33,0.660191666666667,264.076666666667
"0","one2one","all","var","mean",0.0218068347427651,2.05365637373737,0.00137777777777778,0.0218068347427651,2.05365637373737,0.00137777777777778,1.36955018267537e-33,1.77145584848485,708.582339393939
"0","one2one","all","var","var",3.12721178489957e-07,0.00103832994170096,0.000943808454919566,3.12721178489957e-07,0.00103832994170096,0.000943808454919566,1.65382736819078e-65,2.14874519688396,343799.231501434
"0","one2one","none","2.5%","mean",1.03674605415525,28.677125,30,1.03674605415525,28.677125,30,1,95.012125,1900.2425
"0","one2one","none","2.5%","var",2.62696397531642e-05,0.0198923611111111,0,2.62696397531642e-05,0.0198923611111111,0,0,0.0587256944444441,23.4902777777778
"0","one2one","none","50%","mean",1.04153557856907,28.805,30,1.04153557856907,28.805,30,1,95.235,1904.7
"0","one2one","none","50%","var",6.14272359578503e-05,0.0476388888888889,0,6.14272359578503e-05,0.0476388888888889,0,5.47820073070147e-33,0.196958333333333,78.7833333333333
"0","one2one","none","97.5%","mean",1.04617718673033,28.937625,30,1.04617718673033,28.937625,30,1,95.4905,1909.81
"0","one2one","none","97.5%","var",0.000120152192280866,0.0930166666666667,0,0.000120152192280866,0.0930166666666667,0,1.30449654899829e-32,0.463891666666665,185.556666666667
"0","one2one","none","mean","mean",1.04157303362399,28.80435,30,1.04157303362399,28.80435,30,1,95.2424,1904.848
"0","one2one","none","mean","var",6.57094435174045e-05,0.0502202777777778,0,6.57094435174045e-05,0.0502202777777778,0,5.30015920695367e-33,0.211524444444444,84.6097777777778
"0","one2one","none","var","mean",7.28811184483326e-06,0.00556598737373736,0,7.28811184483326e-06,0.00556598737373736,0,7.47027372368382e-34,0.019843676767677,7.93747070707071
"0","one2one","none","var","var",7.54472028631979e-10,0.000437753246274472,0,7.54472028631979e-10,0.000437753246274472,0,1.54848683861568e-65,0.0101142635814939,1618.28217303903
"0","one2one","opposite","2.5%","mean",1.19786350523511,20.277125,30,1.19786350523511,20.277125,30,1,94.893625,1897.8725
"0","one2one","opposite","2.5%","var",6.0776641185728e-05,0.0190173611111111,0,6.0776641185728e-05,0.0190173611111111,0,0,0.0845916666666666,33.8366666666667
"0","one2one","opposite","50%","mean",1.30968779092971,22.9075,30,1.30968779092971,22.9075,30,1,95.24,1904.8
"0","one2one","opposite","50%","var",0.000188104093465262,0.0594583333333334,0,0.000188104093465262,0.0594583333333334,0,6.84775091337684e-33,0.198958333333333,79.5833333333333
"0","one2one","opposite","97.5%","mean",1.47967303013574,25.051125,30,1.47967303013574,25.051125,30,1,95.513375,1910.2675
"0","one2one","opposite","97.5%","var",0.000497463000105295,0.121627777777778,0,0.000497463000105295,0.121627777777778,0,1.36955018267537e-32,0.747246527777777,298.898611111111
"0","one2one","opposite","mean","mean",1.32291357393283,22.76335,30,1.32291357393283,22.76335,30,1,95.20835,1904.167
"0","one2one","opposite","mean","var",0.000209816588266946,0.0611541666666667,0,0.000209816588266946,0.0611541666666667,0,7.12166094991191e-33,0.291944166666667,116.777666666667
"0","one2one","opposite","var","mean",0.00670043293859683,1.88133891666667,0,0.00670043293859683,1.88133891666667,0,2.86360492741213e-33,0.136553563131313,54.6214252525252
"0","one2one","opposite","var","var",1.24535780712804e-08,0.00080011661951303,0,1.24535780712804e-08,0.00080011661951303,0,1.67104940800801e-65,0.323411108359755,51745.7773375608
"0","one2one","same","2.5%","mean",1.21635809200772,20.181,30,1.21635809200772,20.181,30,1,94.4875,1889.75
"0","one2one","same","2.5%","var",8.47385274467992e-05,0.0230194444444445,0,8.47385274467992e-05,0.0230194444444445,0,0,0.0735326388888894,29.4130555555556
"0","one2one","same","50%","mean",1.3199467481504,22.73,30,1.3199467481504,22.73,30,1,95.2425,1904.85
"0","one2one","same","50%","var",0.000224635984801934,0.068388888888889,0,0.000224635984801934,0.068388888888889,0,5.47820073070147e-33,0.200250000000002,80.1
"0","one2one","same","97.5%","mean",1.48694093589756,24.666875,30,1.48694093589756,24.666875,30,1,95.545,1910.9
"0","one2one","same","97.5%","var",0.000514788670555024,0.139975,0,0.000514788670555024,0.139975,0,1.36955018267537e-32,2.67952777777776,1071.81111111111
"0","one2one","same","mean","mean",1.32399364413691,22.71905,29.999,1.32399364413691,22.71905,29.999,1,95.17695,1903.539
"0","one2one","same","mean","var",0.000251273383486214,0.0730958333333333,0.001,0.000251273383486214,0.0730958333333333,0.001,5.86167478185057e-33,0.369574166666666,147.829666666667
"0","one2one","same","var","mean",0.00460947998651065,1.32312964393939,0.000100000000000003,0.00460947998651065,1.32312964393939,0.000100000000000003,1.86756843092096e-33,0.192630755050505,77.0523020202022
"0","one2one","same","var","var",1.33028255264108e-08,0.000993444309998129,1e-04,1.33028255264108e-08,0.000993444309998129,1e-04,1.61072490330169e-65,0.60361545640128,96578.473024205
