"o","mra","mrb","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.1","1","1","2.5%","mean",1.13699155590039,21.491625,30,1.0856962445379,6.783,10,-0.124568943470969,94.907125,1898.1425
"0.1","1","1","2.5%","var",4.30315900334551e-05,0.0168159722222223,0,6.14569603596711e-05,0.00395625000000002,0,0.00143724004613963,0.0723750000000004,28.95
"0.1","1","1","50%","mean",1.22449111291099,24.5025,30,1.22905469776851,8.1375,10,0.324549089828996,95.2175,1904.35
"0.1","1","1","50%","var",0.000139027132709889,0.0530138888888888,0,0.000293896884243335,0.0121111111111111,0,0.00541619263867618,0.199791666666667,79.9166666666667
"0.1","1","1","97.5%","mean",1.39622893626168,26.387625,30,1.47469430618502,9.211,10,0.791639357964316,95.48525,1909.705
"0.1","1","1","97.5%","var",0.000317697796384366,0.125752777777778,0,0.00106156762917789,0.0274965277777778,0,0.0221909478842563,0.480350694444442,192.140277777778
"0.1","1","1","mean","mean",1.23586005987159,24.34555,30,1.24544014015983,8.08275,10,0.330191413807652,95.1961,1903.922
"0.1","1","1","mean","var",0.000148125299131794,0.0566680555555555,0,0.000349473477432462,0.0132713888888889,0,0.00683602701047156,0.311688333333334,124.675333333333
"0.1","1","1","var","mean",0.0044896460791474,1.65378429040404,0,0.0107515621760194,0.403273421717172,0,0.0661984403312748,0.118404333333334,47.3617333333333
"0.1","1","1","var","var",6.02585927562969e-09,0.000793151645700834,0,6.26171461109615e-08,3.99026352257139e-05,0,4.72651373101895e-05,0.511236428210811,81797.8285137299
"0.1","1","10","2.5%","mean",1.14117735588204,21.594,30,1.08246910797878,6.541125,10,-0.196541004434343,94.94425,1898.885
"0.1","1","10","2.5%","var",3.86319935664306e-05,0.0134138888888889,0,4.8441148599967e-05,0.00360277777777776,0,0.000886324641097784,0.0787916666666667,31.5166666666667
"0.1","1","10","50%","mean",1.21724129225161,24.6475,30,1.24678901852733,8.0225,10,0.35898679472176,95.235,1904.7
"0.1","1","10","50%","var",0.000135926537300744,0.0551805555555555,0,0.000303424088335604,0.0132777777777778,0,0.00485867063665311,0.246416666666667,98.5666666666667
"0.1","1","10","97.5%","mean",1.38940480525203,26.290125,30,1.52943818901203,9.23925,10,0.749523613696463,95.467875,1909.3575
"0.1","1","10","97.5%","var",0.000357713239563007,0.124319444444445,0,0.000960040502106851,0.03179375,0,0.0212204667682236,0.451333333333333,180.533333333333
"0.1","1","10","mean","mean",1.23719182509249,24.32415,30,1.25855993321408,8.0031,10,0.348858720527936,95.21425,1904.285
"0.1","1","10","mean","var",0.000158833203950164,0.0591852777777778,0,0.00038218421892341,0.0140755555555556,0,0.00593800918712509,0.307525833333333,123.010333333333
"0.1","1","10","var","mean",0.00486935142370737,1.7395025530303,0,0.0117247076393122,0.435931707070707,0,0.0590101560378903,0.0786173611111111,31.4469444444445
"0.1","1","10","var","var",8.689724418821e-09,0.000810326771651702,0,7.29974497932535e-08,5.05461104875921e-05,0,2.14802559119231e-05,0.487132867708802,77941.2588334082
"0.1","1","20","2.5%","mean",1.13464283192235,21.842,30,1.0791672603096,7.066,10,-0.244378232797508,94.88925,1897.785
"0.1","1","20","2.5%","var",3.95316546269947e-05,0.0163805555555556,0,7.76259121046481e-05,0.00394930555555557,0,0.00139815101443386,0.0874305555555551,34.9722222222222
"0.1","1","20","50%","mean",1.20940335224623,24.8075,30,1.21488882716606,8.2325,10,0.338728968200317,95.205,1904.1
"0.1","1","20","50%","var",0.000129818162731671,0.0485694444444443,0,0.000285094987392958,0.0134583333333334,0,0.00538693537171438,0.214013888888889,85.6055555555556
"0.1","1","20","97.5%","mean",1.37367192281321,26.442125,30,1.41590171571239,9.26775,10,0.786131615591611,95.557875,1911.1575
"0.1","1","20","97.5%","var",0.000323641958971771,0.115286111111111,0,0.000878427413348388,0.0277395833333333,0,0.0214285008966644,0.487172222222223,194.868888888889
"0.1","1","20","mean","mean",1.22652786403884,24.53075,30,1.22456773516318,8.2074,10,0.309040554204011,95.214,1904.28
"0.1","1","20","mean","var",0.000138340433214534,0.0539891666666667,0,0.000338107071969776,0.0139961111111111,0,0.00691849678823714,0.232485555555556,92.9942222222222
"0.1","1","20","var","mean",0.00445508921080842,1.66961281565657,0,0.0075758142304965,0.32082195959596,0,0.0794776308455475,0.0284313131313129,11.3725252525253
"0.1","1","20","var","var",5.66837152850758e-09,0.000665581196143535,0,5.08804849961632e-08,5.09219980670907e-05,0,2.65641299443822e-05,0.0115952170233196,1855.23472373114
"0.1","10","1","2.5%","mean",1.19144588091196,19.741875,30,1.0992586870672,6.6895,10,-0.0614852318151607,94.723875,1894.4775
"0.1","10","1","2.5%","var",5.8484085581509e-05,0.0187305555555556,0,0.000100341328697126,0.00434444444444447,0,0.00124619155092087,0.0629361111111119,25.1744444444444
"0.1","10","1","50%","mean",1.31520840413751,22.8125,30,1.25927596107343,7.9425,10,0.34036505150791,95.2225,1904.45
"0.1","10","1","50%","var",0.000208346867226067,0.0674027777777777,0,0.000378607634725402,0.0143333333333333,0,0.00566218866058109,0.18786111111111,75.1444444444444
"0.1","10","1","97.5%","mean",1.51999465565457,25.183,30,1.4951279337497,9.097875,10,0.741698873504738,95.557875,1911.1575
"0.1","10","1","97.5%","var",0.000637079305231511,0.160404861111111,0,0.00142240560623643,0.0337861111111111,0,0.0198726596876224,1.25849374999999,503.397499999996
"0.1","10","1","mean","mean",1.32414316124624,22.7414,30,1.27413659295875,7.9098,10,0.356355767286267,95.1332,1902.664
"0.1","10","1","mean","var",0.000256035988242186,0.0730388888888889,0,0.000444720669573551,0.0152238888888889,0,0.00692289820744099,0.278020555555556,111.208222222222
"0.1","10","1","var","mean",0.00665257858421102,1.83691014141414,0,0.0126986078508295,0.467138848484849,0,0.0506042266773442,0.41667602020202,166.670408080808
"0.1","10","1","var","var",2.86606346356518e-08,0.00158284256141664,0,1.08095263865269e-07,5.47186809452551e-05,0,2.28554553961367e-05,0.181106892249969,28977.102759995
"0.1","10","10","2.5%","mean",1.21236841105509,19.514875,30,1.10627005758498,6.524,10,-0.13533158504454,94.8635,1897.27
"0.1","10","10","2.5%","var",8.16749436143548e-05,0.0253826388888888,0,0.000112280607004991,0.00489236111111109,0,0.00114438645322144,0.0564444444444448,22.5777777777778
"0.1","10","10","50%","mean",1.31235100733094,22.8625,30,1.27247416158615,7.86,10,0.36421324717185,95.2475,1904.95
"0.1","10","10","50%","var",0.000215245488237771,0.0627777777777776,0,0.0003844338077694,0.0152916666666667,0,0.00596013207969834,0.223527777777779,89.4111111111111
"0.1","10","10","97.5%","mean",1.53765242285707,24.747625,30,1.53342001930107,9.041375,10,0.801097544795686,95.541,1910.82
"0.1","10","10","97.5%","var",0.000560372703850228,0.143111111111111,0,0.00123303837205503,0.0364833333333334,0,0.0228127051968587,1.78421319444442,713.685277777769
"0.1","10","10","mean","mean",1.33088627978219,22.6387,30,1.28814680277632,7.8254,10,0.335190037738027,95.18095,1903.619
"0.1","10","10","mean","var",0.000242394792241239,0.0672244444444444,0,0.000484326755842623,0.0166672222222222,0,0.00792661028231886,0.4008025,160.321
"0.1","10","10","var","mean",0.00803833895904666,2.03463667676768,0,0.013532880491752,0.46136802020202,0,0.0687662611134268,0.244007421717172,97.6029686868686
"0.1","10","10","var","var",1.73050649607293e-08,0.000870512309514903,0,1.0986735798017e-07,8.71589503055246e-05,0,4.41050535647092e-05,1.17454809058011,187927.694492817
"0.1","10","20","2.5%","mean",1.20829592000038,20.192625,30,1.12886341023225,6.669625,10,-0.169758049868046,94.947375,1898.9475
"0.1","10","20","2.5%","var",7.59185756861013e-05,0.0245027777777778,0,8.67005104892316e-05,0.00438611111111109,0,0.00107939713027443,0.0902611111111107,36.1044444444444
"0.1","10","20","50%","mean",1.33049825218295,22.5525,30,1.26033523765354,7.935,10,0.33926532762546,95.24,1904.8
"0.1","10","20","50%","var",0.000236719528141681,0.06375,0,0.000372753872633547,0.015,0,0.00573372901267854,0.197083333333334,78.8333333333333
"0.1","10","20","97.5%","mean",1.48589395847861,24.83075,30,1.50003461443555,8.859125,10,0.750568166612789,95.542625,1910.8525
"0.1","10","20","97.5%","var",0.000569435728316594,0.153975694444444,0,0.00124599303556031,0.0331854166666666,0,0.0169773982605059,0.513583333333333,205.433333333333
"0.1","10","20","mean","mean",1.33292049075384,22.56945,30,1.27860254406302,7.8734,10,0.340790818552921,95.18955,1903.791
"0.1","10","20","mean","var",0.000251842059300932,0.0714047222222222,0,0.000458467163349017,0.015735,0,0.00639565563094136,0.248881944444445,99.5527777777778
"0.1","10","20","var","mean",0.00484442270278605,1.33835348232323,0,0.0111091581866774,0.387834282828283,0,0.057839122646037,0.262787421717171,105.114968686869
"0.1","10","20","var","var",1.71820515978537e-08,0.00142664085694912,0,9.75113511709103e-08,5.43049074074074e-05,0,1.73158302757303e-05,0.0458436235249875,7334.979763998
"0.1","20","1","2.5%","mean",1.25193710762815,19.635,30,1.11900856664493,6.821375,10,-0.165415773758989,94.970875,1899.4175
"0.1","20","1","2.5%","var",9.65821435041079e-05,0.0281916666666666,0,9.52816157771928e-05,0.00519166666666667,0,0.00154060848519451,0.0699562499999999,27.9825
"0.1","20","1","50%","mean",1.36903168287977,21.915,30,1.25904525530013,7.945,10,0.353983291218066,95.2225,1904.45
"0.1","20","1","50%","var",0.000266732015474223,0.0715833333333333,0,0.000363698537430955,0.0153472222222222,0,0.00574243030473012,0.240055555555554,96.0222222222222
"0.1","20","1","97.5%","mean",1.52848698816069,23.966,30,1.4664454068662,8.938375,10,0.768190130011996,95.503125,1910.0625
"0.1","20","1","97.5%","var",0.000670086815179201,0.136491666666667,0,0.00106346792130823,0.0314979166666666,0,0.0218242688587411,0.569110416666667,227.644166666666
"0.1","20","1","mean","mean",1.37087874806605,21.951,30,1.27175535161172,7.91405,10,0.326241377773758,95.23265,1904.653
"0.1","20","1","mean","var",0.000301648462624938,0.0757311111111111,0,0.000446825913148254,0.0158713888888889,0,0.00761085403549065,0.265064166666667,106.025666666667
"0.1","20","1","var","mean",0.00560274110566569,1.41405656565657,0,0.0103656514763368,0.385763482323232,0,0.0636920116200095,0.0226300277777781,9.05201111111109
"0.1","20","1","var","var",1.96972428272153e-08,0.00093189395311136,0,8.00656559171223e-08,5.36597246383589e-05,0,3.43649934622872e-05,0.0282601899347644,4521.63038956229
"0.1","20","10","2.5%","mean",1.24316534055615,18.98075,30,1.11862131267473,6.916375,10,-0.130319459909509,94.85325,1897.065
"0.1","20","10","2.5%","var",9.76155964624791e-05,0.0249118055555555,0,0.000126855633430453,0.00534722222222222,0,0.00118683044342356,0.0765590277777785,30.6236111111111
"0.1","20","10","50%","mean",1.36453628723983,21.9875,30,1.28205330991038,7.8025,10,0.373807891074286,95.2125,1904.25
"0.1","20","10","50%","var",0.000245115748365785,0.0640694444444448,0,0.000421007568975122,0.0158333333333334,0,0.00528925428005339,0.209388888888889,83.7555555555556
"0.1","20","10","97.5%","mean",1.580748544137,24.136,30,1.44650496135751,8.94075,10,0.777961447579332,95.525,1910.5
"0.1","20","10","97.5%","var",0.000660472171191595,0.148608333333333,0,0.00133373513084382,0.0409583333333333,0,0.0184391884135997,0.554608333333334,221.843333333333
"0.1","20","10","mean","mean",1.3720758238209,21.93685,30,1.28469187529884,7.8234,10,0.364836460437032,95.2059,1904.118
