"o","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","N","Ntot"
"0.5","many2many","all","2.5%","mean",1.64857143557963,12.504,29.6475,1.26775428431438,4.929,10,90.651625,1813.0325
"0.5","many2many","all","2.5%","var",0.000379543627130821,0.0257333333333334,0,0.000222982761095514,0.00437152777777777,0,0.0689284722222219,27.5713888888889
"0.5","many2many","all","50%","mean",1.87777962806269,15.9125,30,1.53713978649259,6.51,10,95.17,1903.4
"0.5","many2many","all","50%","var",0.00112278674883499,0.078847222222222,0,0.000912671823451955,0.0155694444444444,0,0.224083333333334,89.6333333333333
"0.5","many2many","all","97.5%","mean",2.38850339217653,18.202875,30,2.02979529106807,7.89275,10,95.477625,1909.5525
"0.5","many2many","all","97.5%","var",0.00329060127082868,0.187690972222222,0.250833333333333,0.0029844813578522,0.0339604166666667,0,6.46291319444444,2585.16527777778
"0.5","many2many","all","mean","mean",1.91533314635582,15.78795,29.954,1.56316543756819,6.48525,10,94.74925,1894.985
"0.5","many2many","all","mean","var",0.00136978622746408,0.0831619444444444,0.0382222222222222,0.00111791227040046,0.0170136111111111,0,0.882808611111111,353.123444444444
"0.5","many2many","all","var","mean",0.0374248286522061,2.13524398737374,0.013620202020202,0.0343776959309368,0.542376452020202,0,1.3627264520202,545.090580808081
"0.5","many2many","all","var","var",9.15589687630906e-07,0.00165221489672964,0.00789205636613044,6.02809193165412e-07,6.54061369092157e-05,0,3.31587123921148,530539.398273837
"0.5","many2many","none","2.5%","mean",1.07805170100202,26.975,30,1,9.865375,10,94.99975,1899.995
"0.5","many2many","none","2.5%","var",4.46387664879844e-05,0.0286027777777779,0,0,0,0,0.0719951388888894,28.7980555555556
"0.5","many2many","none","50%","mean",1.09371420283468,27.4325,30,1.00100502512563,9.99,10,95.245,1904.9
"0.5","many2many","none","50%","var",0.00012256231999153,0.0769722222222224,0,4.48922445841739e-06,0.000444444444444457,0,0.227777777777777,91.1111111111111
"0.5","many2many","none","97.5%","mean",1.11231066485331,27.831,30,1.01371532778336,10,10,95.58625,1911.725
"0.5","many2many","none","97.5%","var",0.000300963790081055,0.183264583333333,0,5.73220002821704e-05,0.00539236111111107,0,0.503319444444442,201.327777777778
"0.5","many2many","none","mean","mean",1.09450868282061,27.41415,30,1.00198119931043,9.98045,10,95.2575,1905.15
"0.5","many2many","none","mean","var",0.000137682074226911,0.0857852777777778,0,1.0163381096842e-05,0.000968611111111116,0,0.241755,96.702
"0.5","many2many","none","var","mean",7.81969181725359e-05,0.0487530580808079,0,1.38583820844217e-05,0.00132176515151515,0,0.0255901515151516,10.2360606060606
"0.5","many2many","none","var","var",5.52965525216492e-09,0.00204659592615975,0,4.63360396142396e-10,3.8297738963711e-06,0,0.0122131568989275,1954.10510382841
"0.5","many2many","opposite","2.5%","mean",1.27712063896299,19.389625,30,1.08204467449108,7.033375,10,94.85825,1897.165
"0.5","many2many","opposite","2.5%","var",0.000140952191876733,0.0322826388888889,0,5.19553438133611e-05,0.00296944444444446,0,0.066997222222223,26.7988888888889
"0.5","many2many","opposite","50%","mean",1.39197989850853,21.555,30,1.19129060614851,8.395,10,95.2225,1904.45
"0.5","many2many","opposite","50%","var",0.000390509934717127,0.0859027777777778,0,0.000216659739587318,0.00969444444444444,0,0.201527777777777,80.6111111111111
"0.5","many2many","opposite","97.5%","mean",1.54819831590401,23.499125,30,1.42241021891747,9.24275,10,95.47525,1909.505
"0.5","many2many","opposite","97.5%","var",0.000857032016480882,0.174178472222222,0,0.000723536217510279,0.0237916666666666,0,0.574415972222222,229.766388888889
"0.5","many2many","opposite","mean","mean",1.40431541880794,21.4254,29.999,1.20726719121092,8.32195,10,95.1726,1903.452
"0.5","many2many","opposite","mean","var",0.0004180966828079,0.09468,0.001,0.000248678317706344,0.0110580555555556,0,0.267604444444444,107.041777777778
"0.5","many2many","opposite","var","mean",0.00569060226957568,1.2567856969697,0.000100000000000003,0.00703457283654844,0.301064088383838,0,0.259222464646465,103.688985858586
"0.5","many2many","opposite","var","var",3.90597985697615e-08,0.00186478769921437,1e-04,2.82413667497504e-08,3.70709267832648e-05,0,0.204202000672153,32672.3201075446
"0.5","many2many","same","2.5%","mean",1.30282596375542,18.675125,30,1.04604424417669,7.428625,10,94.964,1899.28
"0.5","many2many","same","2.5%","var",9.77968941134386e-05,0.0224277777777778,0,3.70227217797425e-05,0.00228958333333333,0,0.0655916666666666,26.2366666666667
"0.5","many2many","same","50%","mean",1.42517697507539,21.055,30,1.16806497598547,8.5625,10,95.22,1904.4
"0.5","many2many","same","50%","var",0.000386213928106059,0.0903333333333332,0,0.000155079797805025,0.00888888888888889,0,0.205625000000001,82.25
"0.5","many2many","same","97.5%","mean",1.60674413546413,23.03025,30,1.346589610176,9.56075,10,95.513125,1910.2625
"0.5","many2many","same","97.5%","var",0.00122551519267116,0.224347222222222,0,0.000659781011029544,0.0224270833333333,0,0.451496527777778,180.598611111111
"0.5","many2many","same","mean","mean",1.42741230595319,21.08495,29.998,1.17485337723046,8.5488,10,95.1567,1903.134
"0.5","many2many","same","mean","var",0.000473345232748907,0.0990097222222222,0.002,0.000199055004355182,0.00946611111111111,0,0.306107777777778,122.443111111111
