"sigA","sigB","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.25","0.25","many2many","all","2.5%","mean",3.7752531439019,2.16125,19.1275,2.86478054899766,1.11375,8.095,0.850072602114687,38.291125,765.8225
"0.25","0.25","many2many","all","2.5%","var",0.0126013866867798,0.0097201388888889,0.136944444444444,0.00968242872975961,0.00289652777777778,0,3.38339669656701e-05,0.121642361111112,48.6569444444444
"0.25","0.25","many2many","all","50%","mean",6.13250019776492,3.965,24.1,4.71026312024857,1.99,9.7,0.944277189506648,61.3675,1227.35
"0.25","0.25","many2many","all","50%","var",0.0815686028728534,0.0343333333333333,0.933333333333333,0.0716196929391328,0.0102916666666667,0.1,0.000238878524274151,6.34933333333333,2539.73333333333
"0.25","0.25","many2many","all","97.5%","mean",9.42763069154408,6.72925,27.8575,7.91124051723703,3.366625,10,0.980178766510983,75.58325,1511.665
"0.25","0.25","many2many","all","97.5%","var",0.452895220124025,0.0826576388888889,3.62749999999999,0.573864375303329,0.02240625,0.523333333333333,0.00104382292372926,32.8375444444444,13135.0177777778
"0.25","0.25","many2many","all","mean","mean",6.13405590091269,4.13375,23.927,4.84732559609163,2.09765,9.466,0.937948652783294,59.5013,1190.026
"0.25","0.25","many2many","all","mean","var",0.116769392733523,0.0363902777777778,1.17544444444444,0.115068813926367,0.0111413888888889,0.140444444444444,0.000334252300372868,9.51839555555556,3807.35822222222
"0.25","0.25","many2many","all","var","mean",1.94925520144691,1.25385069444444,6.03411212121212,1.62150642466773,0.339423967171717,0.404488888888889,0.00125713126008442,97.8290629393939,39131.6251757576
"0.25","0.25","many2many","all","var","var",0.0122313268797026,0.000368964870541838,0.973421361765806,0.0184636340622395,3.2393364119591e-05,0.0266604813567777,8.14388628411384e-08,75.2493519288739,12039896.3086198
"0.25","0.25","many2many","none","2.5%","mean",1.07782566939566,27.021375,30,1,9.8675,10,-0.10448453710137,94.962125,1899.2425
"0.25","0.25","many2many","none","2.5%","var",4.36997603369699e-05,0.027625,0,0,0,0,0.0384671804019884,0.0788638888888891,31.5455555555556
"0.25","0.25","many2many","none","50%","mean",1.09379404109816,27.43,30,1.00150753768844,9.985,10,0.0179669702337782,95.2575,1905.15
"0.25","0.25","many2many","none","50%","var",0.000131289908537777,0.0834722222222224,0,5.89210710167283e-06,0.00058333333333335,0,0.0459124307968719,0.21011111111111,84.0444444444445
"0.25","0.25","many2many","none","97.5%","mean",1.11033649880821,27.837625,30,1.01349362293844,10,10,0.100326388126875,95.495,1909.9
"0.25","0.25","many2many","none","97.5%","var",0.00035101473609192,0.220274305555555,0,5.29354585014512e-05,0.00507152777777775,0,0.0537285768821346,0.44934375,179.7375
"0.25","0.25","many2many","none","mean","mean",1.09487533679612,27.4055,30,1.00245802422182,9.9757,10,0.00389957042954944,95.2424,1904.848
"0.25","0.25","many2many","none","mean","var",0.000152175363465669,0.0949455555555555,0,1.14316297166798e-05,0.00110388888888889,0,0.0460425696356015,0.221399444444444,88.5597777777778
"0.25","0.25","many2many","none","var","mean",8.81828907137009e-05,0.0552916666666667,0,1.23021367066468e-05,0.00118283838383838,0,0.0117682290779667,0.0227805454545454,9.11221818181821
"0.25","0.25","many2many","none","var","var",6.72911288248987e-09,0.00252720158249158,0,2.53433094048425e-10,2.2192545828657e-06,0,6.45307692692339e-05,0.00929023503211123,1486.4376051378
"0.25","0.25","many2many","opposite","2.5%","mean",2.24481436007331,7.270625,28.2475,1.55741654083511,2.974125,9.8425,0.556993703219757,69.375875,1387.5175
"0.25","0.25","many2many","opposite","2.5%","var",0.00144296911233685,0.0207715277777778,0,0.000738326594126196,0.00415833333333334,0,0.000105941423935192,0.137225694444443,54.8902777777778
"0.25","0.25","many2many","opposite","50%","mean",2.84118744954265,10.4225,29.9,2.08571453517878,4.7975,10,0.831740519386306,85.6075,1712.15
"0.25","0.25","many2many","opposite","50%","var",0.00511143224119196,0.0590555555555556,0,0.0023337080490679,0.0114583333333333,0,0.000686413918841355,5.81958333333333,2327.83333333333
"0.25","0.25","many2many","opposite","97.5%","mean",4.08507854647715,13.333375,30,3.36877597964233,6.425125,10,0.932644027715657,95.29825,1905.965
"0.25","0.25","many2many","opposite","97.5%","var",0.025506177376992,0.1595,0.622222222222222,0.0154336227933961,0.0289722222222221,0,0.00664717730176389,16.02043125,6408.1725
"0.25","0.25","many2many","opposite","mean","mean",2.92439924902187,10.4137,29.697,2.15502859570082,4.77795,9.984,0.805590802612192,84.42295,1688.459
"0.25","0.25","many2many","opposite","mean","var",0.00701863541404326,0.0674533333333333,0.125666666666667,0.00359684899657945,0.0132547222222222,0.00466666666666667,0.00112781146146364,6.19380583333333,2477.52233333333
"0.25","0.25","many2many","opposite","var","mean",0.226085573499763,2.58971647474747,0.226354545454545,0.165258443387476,0.627396007575758,0.0116606060606061,0.0115762576356209,54.551273280303,21820.5093121212
"0.25","0.25","many2many","opposite","var","var",3.65447193824428e-05,0.00145125269484973,0.0341231949120838,1.60266936336273e-05,4.7121524738122e-05,0.00107789001122334,2.35269714308155e-06,19.8007829701256,3168125.27522009
"0.25","0.25","many2many","same","2.5%","mean",1.94788133177429,8.33025,26,1.50353620943544,3.83625,9.1425,0.74806866402424,72.90725,1458.145
"0.25","0.25","many2many","same","2.5%","var",0.000812550330626993,0.020375,0,0.000443317052293185,0.00402222222222221,0,2.35622378165535e-05,0.0889798611111113,35.5919444444445
"0.25","0.25","many2many","same","50%","mean",2.4365737663233,11.6775,29,1.87695462866577,5.2875,10,0.956692223402509,85.7075,1714.15
"0.25","0.25","many2many","same","50%","var",0.00347364615297202,0.0549444444444443,0.233333333333333,0.00144855154062669,0.0116111111111111,0,0.000119201782348623,1.27541666666667,510.166666666667
"0.25","0.25","many2many","same","97.5%","mean",3.46835440677904,14.721625,30,2.49306237266332,6.653625,10,0.979480216226272,95.25825,1905.165
"0.25","0.25","many2many","same","97.5%","var",0.0153143293621176,0.110911111111111,1.16361111111111,0.00644930089775221,0.0255611111111111,0,0.001230455149476,16.1314166666666,6452.56666666666
"0.25","0.25","many2many","same","mean","mean",2.47889804176992,11.84335,28.727,1.91920959820325,5.29695,9.963,0.937355542994194,84.81005,1696.201
"0.25","0.25","many2many","same","mean","var",0.00440371345211455,0.0557191666666666,0.289444444444444,0.00191189051219863,0.0125002777777778,0.00233333333333333,0.000218595663088089,3.55394527777778,1421.57811111111
"0.25","0.25","many2many","same","var","mean",0.14450521549806,3.00303639141414,1.0929,0.0760038503312001,0.558401967171717,0.033869696969697,0.00359031245529971,37.0988189368687,14839.5275747475
"0.25","0.25","many2many","same","var","var",1.65248635800385e-05,0.000621546232307643,0.0850838633246041,2.33243576699923e-06,4.42178341283202e-05,0.000544444444444445,8.61586847363067e-08,19.4824522718458,3117192.36349534
"0.25","0.25","one2many","all","2.5%","mean",5.29882686325611,1.047375,11,3.97283118521445,0.7395,5.69,0.888681279043161,30.361125,607.2225
"0.25","0.25","one2many","all","2.5%","var",0.0242398476487371,0.00432986111111111,0.275555555555556,0.0162633766881364,0.00166111111111111,0,1.30326061521739e-05,0.108024305555555,43.2097222222222
"0.25","0.25","one2many","all","50%","mean",7.54786350689164,2.4225,19.1,5.80552617487825,1.455,8.45,0.964884788940951,53.235,1064.7
"0.25","0.25","one2many","all","50%","var",0.196865790160962,0.0203472222222222,1.43333333333333,0.160585975199486,0.00675,0.233333333333333,0.000110235397848498,9.757125,3902.85
"0.25","0.25","one2many","all","97.5%","mean",12.4336734648276,4.428,25.005,9.44595134602277,2.2805,10,0.98717132174197,70.62725,1412.545
"0.25","0.25","one2many","all","97.5%","var",1.40740761835561,0.075954861111111,4.01333333333333,0.855879730279497,0.0177111111111111,0.807499999999999,0.000762150234642243,30.3479118055555,12139.1647222222
"0.25","0.25","one2many","all","mean","mean",7.85972413296448,2.55015,18.77,6.13724881367297,1.45455,8.304,0.956102454498412,51.3289,1026.578
"0.25","0.25","one2many","all","mean","var",0.316139602671607,0.0256530555555556,1.664,0.292327657149716,0.00747194444444444,0.254444444444444,0.000199969086647358,11.2153144444444,4486.12577777778
"0.25","0.25","one2many","all","var","mean",3.57981878468752,0.77584820959596,15.2419191919192,2.92374916969464,0.188355603535354,1.57634747474747,0.000763498548507098,129.141734131313,51656.6936525253
"0.25","0.25","one2many","all","var","var",0.215035042205326,0.000409721653183065,1.66102287068213,0.432184637788571,1.81299802812071e-05,0.0568562164858461,8.53211329816816e-08,60.1132316719803,9618117.06751685
"0.25","0.25","one2many","none","2.5%","mean",1.03718865371547,28.68,30,1,9.87975,10,0.0929548302604499,94.97,1899.4
"0.25","0.25","one2many","none","2.5%","var",2.00968171489208e-05,0.0153618055555556,0,0,0,0,0.0251711790036162,0.0785638888888887,31.4255555555556
"0.25","0.25","one2many","none","50%","mean",1.04262666947867,28.775,30,1.00454299390095,9.955,10,0.286775631683388,95.2375,1904.75
