"sigA","sigB","topo","envfilt","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.25","0.25","many2many","all","2.5%","mean",3.07471704352852,5.336625,26.9375,2.7804803027081,1.416375,8.2,0.617062657183282,67.87175,1357.435
"0.25","0.25","many2many","all","2.5%","var",0.00277381991379703,0.0124861111111111,0,0.00594940319692635,0.00293055555555556,0,0.000148677647497514,0.0986388888888884,39.4555555555556
"0.25","0.25","many2many","all","50%","mean",4.25362656119804,6.85,29.3,4.24077835084064,2.2575,9.95,0.872036780420936,83.73,1674.6
"0.25","0.25","many2many","all","50%","var",0.0150637043355428,0.0283611111111111,0.222222222222222,0.0405513114633448,0.00999999999999999,0,0.000712416592774649,5.51573611111112,2206.29444444444
"0.25","0.25","many2many","all","97.5%","mean",5.28598594663844,9.162125,30,6.75977717728646,3.57625,10,0.938477425796976,94.68375,1893.675
"0.25","0.25","many2many","all","97.5%","var",0.0548880777359694,0.0666111111111111,1.03777777777778,0.258614492403832,0.0231048611111111,0.4,0.00368372590522458,24.4285381944444,9771.41527777776
"0.25","0.25","many2many","all","mean","mean",4.22946983335038,7.04055,29.14,4.37811208463257,2.3187,9.64,0.844661851608355,82.65735,1653.147
"0.25","0.25","many2many","all","mean","var",0.0179844521821695,0.0341291666666667,0.286444444444444,0.064440791836499,0.0110322222222222,0.0904444444444445,0.00104229218651222,6.85558694444445,2742.23477777778
"0.25","0.25","many2many","all","var","mean",0.347094840162708,1.20476964393939,0.824848484848485,0.97776374504082,0.298753848484848,0.285858585858586,0.00711895024768675,46.502399219697,18600.9596878788
"0.25","0.25","many2many","all","var","var",0.000164280218037449,0.000278317642084425,0.0879126574385834,0.00636587297667737,3.06878463648834e-05,0.0169747350043646,8.36958989788655e-07,41.8475267704304,6695604.28326887
"0.25","0.25","many2many","none","2.5%","mean",1.07774455746725,26.766875,30,1,9.932125,10,-0.0395810866423308,94.975,1899.5
"0.25","0.25","many2many","none","2.5%","var",5.51978047794443e-05,0.0342611111111111,0,0,0,0,0.035867344026713,0.0640076388888892,25.6030555555556
"0.25","0.25","many2many","none","50%","mean",1.09470616640966,27.4075,30,1.00100502512563,9.99,10,-0.0178447562893311,95.275,1905.5
"0.25","0.25","many2many","none","50%","var",0.000151290812514839,0.0922222222222224,0,4.48922445841739e-06,0.000444444444444457,0,0.0369537800898243,0.201291666666666,80.5166666666667
"0.25","0.25","many2many","none","97.5%","mean",1.12088034075935,27.837875,30,1.00686047011966,10,10,0.00389157406366861,95.502625,1910.0525
