"topo","envfilt","stat","summary","time","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"many2many","all","2.5%","mean","T1000",1.73117119498975,10.0095,28.695,1.27355220975422,4.614625,10,0.837045446995455,75.42125,1508.425
"many2many","all","2.5%","mean","T2000",1.70298712082672,10.691625,28.9,1.22336646198597,4.837375,10,0.823535820455648,76.7235,1534.47
"many2many","all","2.5%","mean","T4000",1.67672056713961,11.125125,29,1.19946647434915,5.057,10,0.797259130210188,77.49875,1549.975
"many2many","all","2.5%","mean","T8000",1.64915330778099,11.59,29,1.17301929785675,5.25,10,0.773204513101051,78.21225,1564.245
"many2many","all","2.5%","var","T1000",0.000639049738367914,0.0350444444444443,0,0.000264593807843067,0.00447222222222222,0,4.52700421562428e-05,0.0908999999999995,36.36
"many2many","all","2.5%","var","T2000",0.000602898803849898,0.0224423611111111,0,0.000140111913024426,0.00395624999999997,0,5.26301666714113e-05,0.0856173611111114,34.2469444444444
"many2many","all","2.5%","var","T4000",0.000359487284756899,0.0268611111111112,0,0.000154210450073817,0.00484166666666667,0,3.50730888274204e-05,0.0870416666666671,34.8166666666667
"many2many","all","2.5%","var","T8000",0.000375993036381334,0.0262673611111111,0,0.000176985995124932,0.00506041666666668,0,5.15543219884273e-05,0.078053472222221,31.2213888888889
"many2many","all","50%","mean","T1000",2.14023854563393,13.9125,29.9,1.62258794689873,6.165,10,0.943303547914407,89.97,1799.4
"many2many","all","50%","mean","T2000",2.06211298632579,14.3925,30,1.55446131631601,6.435,10,0.937739356114662,90.4025,1808.05
"many2many","all","50%","mean","T4000",2.02877819826183,14.715,30,1.51234487933703,6.615,10,0.931273836530579,90.7325,1814.65
"many2many","all","50%","mean","T8000",2.00097758665666,14.9925,30,1.46145993742492,6.845,10,0.926995530017496,91.6,1832
"many2many","all","50%","var","T1000",0.00227563339553837,0.0888472222222222,0.1,0.00102593058527373,0.0152916666666667,0,0.000242519240750785,4.26168055555556,1704.67222222222
"many2many","all","50%","var","T2000",0.00202888834584156,0.0870555555555555,0,0.000843069668869978,0.01575,0,0.000205649575848326,3.08101388888889,1232.40555555556
"many2many","all","50%","var","T4000",0.0016311206257286,0.0820555555555555,0,0.000787954388349261,0.014,0,0.000294202455167436,2.17734722222222,870.938888888889
"many2many","all","50%","var","T8000",0.00160441669359229,0.0764027777777779,0,0.000539978768287521,0.0136805555555556,0,0.000347675527462589,0.359291666666664,143.716666666667
"many2many","all","97.5%","mean","T1000",2.99409943784641,17.307625,30,2.16952667652106,7.85575,10,0.973826377134487,95.303125,1906.0625
"many2many","all","97.5%","mean","T2000",2.80725322097222,17.622,30,2.06885158972649,8.178,10,0.972245065052628,95.365,1907.3
"many2many","all","97.5%","mean","T4000",2.69781329293577,17.897375,30,1.97848315437478,8.33975,10,0.970066426821928,95.398875,1907.9775
"many2many","all","97.5%","mean","T8000",2.58990072319397,18.193125,30,1.90577351900763,8.527875,10,0.971660110172108,95.415,1908.3
"many2many","all","97.5%","var","T1000",0.00814130825893016,0.172372916666667,0.488888888888889,0.00596371976889168,0.0360583333333334,0,0.00175869504730108,19.1370861111111,7654.83444444444
"many2many","all","97.5%","var","T2000",0.00720588820256525,0.189994444444444,0.585277777777777,0.00447691004157838,0.0388194444444444,0,0.0017990841516688,17.0416715277777,6816.6686111111
"many2many","all","97.5%","var","T4000",0.00563492453067677,0.172060416666666,0.488888888888889,0.00289208707454219,0.0335173611111111,0,0.00189060491608999,10.9224326388889,4368.97305555555
