"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0","many2many","all","2.5%","mean",1,"jaccard",0.338553939669295,-0.0390436827995849
"0","many2many","all","50%","mean",1,"jaccard",0.595986198752658,0.362152391350966
"0","many2many","all","97.5%","mean",1,"jaccard",0.802013748177599,0.741638541501707
"0","many2many","all","mean","mean",1,"jaccard",0.59120031535857,0.355881600438301
"0","many2many","all","var","mean",1,"jaccard",0.0147100257609164,0.0507043652584663
"0","many2many","all","2.5%","var",1,"jaccard",0.000260729136331807,0.000144934465107486
"0","many2many","all","50%","var",1,"jaccard",0.000989315933341177,0.00236430861290171
"0","many2many","all","97.5%","var",1,"jaccard",0.0030856530051732,0.0223593156997731
"0","many2many","all","mean","var",1,"jaccard",0.00117384711247749,0.00498948283705949
"0","many2many","all","var","var",1,"jaccard",8.95221381460607e-07,3.66070321336526e-05
"0","many2many","all","2.5%","mean",1,"N",-0.399023194764416,-0.399023194764416
"0","many2many","all","50%","mean",1,"N",0.00328687881545521,0.00328687881545521
"0","many2many","all","97.5%","mean",1,"N",0.150826842423904,0.150826842423904
"0","many2many","all","mean","mean",1,"N",-0.0203395003906945,-0.0203395003906945
"0","many2many","all","var","mean",1,"N",0.017549506274227,0.017549506274227
"0","many2many","all","2.5%","var",1,"N",0.00350271262485059,0.00350271262485059
"0","many2many","all","50%","var",1,"N",0.049924684077502,0.049924684077502
"0","many2many","all","97.5%","var",1,"N",0.111014977859566,0.111014977859566
"0","many2many","all","mean","var",1,"N",0.0531443752546213,0.0531443752546213
"0","many2many","all","var","var",1,"N",0.000693219160560877,0.000693219160560877
"0","many2many","all","2.5%","mean",1,"rda",0.131794945685082,0.0415921076058558
"0","many2many","all","50%","mean",1,"rda",0.203516318364532,0.161816467651432
"0","many2many","all","97.5%","mean",1,"rda",0.307262281213499,0.355858574208263
"0","many2many","all","mean","mean",1,"rda",0.209846580382444,0.175671146825866
"0","many2many","all","var","mean",1,"rda",0.00199239239796378,0.00744593622132464
"0","many2many","all","2.5%","var",1,"rda",8.5440649895435e-05,0.000157741277813628
"0","many2many","all","50%","var",1,"rda",0.000319152506890425,0.00172811042848911
"0","many2many","all","97.5%","var",1,"rda",0.00102475856836097,0.00793929710799546
"0","many2many","all","mean","var",1,"rda",0.000372183926096588,0.00235089026936625
"0","many2many","all","var","var",1,"rda",5.98264978589311e-08,4.29614605649966e-06
"0","many2many","all","2.5%","mean",1,"S",-0.49011146530468,-0.605580312489878
"0","many2many","all","50%","mean",1,"S",-0.00722786141353358,-0.0331859019481851
"0","many2many","all","97.5%","mean",1,"S",0.568045254102641,0.665433204871231
"0","many2many","all","mean","mean",1,"S",-0.000753077485696495,-0.0197787037799061
"0","many2many","all","var","mean",1,"S",0.0853765605308801,0.136223496137339
"0","many2many","all","2.5%","var",1,"S",0.000355393892237723,0.00075095411490832
"0","many2many","all","50%","var",1,"S",0.0016333822544712,0.00708410270014381
"0","many2many","all","97.5%","var",1,"S",0.00619224271572798,0.0484507414640521
"0","many2many","all","mean","var",1,"S",0.00204034097088387,0.0119283066215194
"0","many2many","all","var","var",1,"S",2.20573216063743e-06,0.000169837211598674
"0","many2many","all","2.5%","mean",2,"jaccard",0.316825145207524,-0.0228698126343354
"0","many2many","all","50%","mean",2,"jaccard",0.605877846956655,0.374868959935324
"0","many2many","all","97.5%","mean",2,"jaccard",0.800654900571064,0.789763395142128
"0","many2many","all","mean","mean",2,"jaccard",0.586137912583008,0.356726541353006
"0","many2many","all","var","mean",2,"jaccard",0.0191863446467699,0.048990867904025
"0","many2many","all","2.5%","var",2,"jaccard",0.000354014380682199,0.000302044888733431
"0","many2many","all","50%","var",2,"jaccard",0.00100175099183865,0.00254666899406155
"0","many2many","all","97.5%","var",2,"jaccard",0.00344722760385898,0.0263955796020992
"0","many2many","all","mean","var",2,"jaccard",0.00120899091244418,0.00534604282741079
"0","many2many","all","var","var",2,"jaccard",8.38554668621153e-07,7.20099307075927e-05
"0","many2many","all","2.5%","mean",2,"N",-0.191004384707478,-0.191004384707478
"0","many2many","all","50%","mean",2,"N",-0.0130332895792096,-0.0130332895792096
"0","many2many","all","97.5%","mean",2,"N",0.242215157555065,0.242215157555065
"0","many2many","all","mean","mean",2,"N",-0.00156733758236206,-0.00156733758236206
"0","many2many","all","var","mean",2,"N",0.0135698119513939,0.0135698119513939
"0","many2many","all","2.5%","var",2,"N",0.00752100775379263,0.00752100775379263
"0","many2many","all","50%","var",2,"N",0.0505410370011181,0.0505410370011181
"0","many2many","all","97.5%","var",2,"N",0.117958256914298,0.117958256914298
"0","many2many","all","mean","var",2,"N",0.0535837081783417,0.0535837081783417
"0","many2many","all","var","var",2,"N",0.000663799029543339,0.000663799029543339
"0","many2many","all","2.5%","mean",2,"rda",0.130367788940107,0.0433559378297584
"0","many2many","all","50%","mean",2,"rda",0.208365260608531,0.173252365584099
"0","many2many","all","97.5%","mean",2,"rda",0.30505372621468,0.424807171313087
"0","many2many","all","mean","mean",2,"rda",0.210585705796462,0.183218081154441
"0","many2many","all","var","mean",2,"rda",0.00206713333149785,0.0101014723630201
"0","many2many","all","2.5%","var",2,"rda",9.18159119925744e-05,0.000135400715180432
"0","many2many","all","50%","var",2,"rda",0.000310123365261643,0.00159066610661332
"0","many2many","all","97.5%","var",2,"rda",0.000767490753882888,0.00836942219536335
"0","many2many","all","mean","var",2,"rda",0.000353373560779487,0.00243862446671914
"0","many2many","all","var","var",2,"rda",4.13717144263847e-08,7.08515316719064e-06
"0","many2many","all","2.5%","mean",2,"S",-0.591865393159552,-0.644739839690369
"0","many2many","all","50%","mean",2,"S",0.0211086224160662,-0.0658529324355195
"0","many2many","all","97.5%","mean",2,"S",0.686307265045516,0.779287161617484
"0","many2many","all","mean","mean",2,"S",0.0445593249674175,0.0196164929192674
"0","many2many","all","var","mean",2,"S",0.111154185003475,0.156505297808144
"0","many2many","all","2.5%","var",2,"S",0.000447163468105291,0.000724289871477648
"0","many2many","all","50%","var",2,"S",0.00152853844354723,0.00607119645583341
"0","many2many","all","97.5%","var",2,"S",0.0052602891048583,0.0453011663194758
"0","many2many","all","mean","var",2,"S",0.00195661016568376,0.0113413956823106
"0","many2many","all","var","var",2,"S",1.84011179692423e-06,0.000154619332637497
"0","many2many","none","2.5%","mean",1,"jaccard",-0.0631822891927882,-0.0215969977230364
"0","many2many","none","50%","mean",1,"jaccard",0.00671213934477075,0.00215688360540605
"0","many2many","none","97.5%","mean",1,"jaccard",0.0752395063736954,0.088760625279886
"0","many2many","none","mean","mean",1,"jaccard",0.00408756319039309,0.024209466182963
"0","many2many","none","var","mean",1,"jaccard",0.00145504515258325,0.0037383674801553
"0","many2many","none","2.5%","var",1,"jaccard",0.00480498420026685,0.00941993405370052
"0","many2many","none","50%","var",1,"jaccard",0.0140063117918594,0.0127563722542759
"0","many2many","none","97.5%","var",1,"jaccard",0.0394659123250446,0.0415682720963646
"0","many2many","none","mean","var",1,"jaccard",0.0160129629122761,0.0216951307249823
"0","many2many","none","var","var",1,"jaccard",7.54400531335166e-05,0.000346218472997639
"0","many2many","none","2.5%","mean",1,"N",-0.130007437603097,-0.130007437603097
"0","many2many","none","50%","mean",1,"N",0.0106166996421926,0.0106166996421926
"0","many2many","none","97.5%","mean",1,"N",0.124722180693998,0.124722180693998
"0","many2many","none","mean","mean",1,"N",0.00372537997889478,0.00372537997889478
"0","many2many","none","var","mean",1,"N",0.00506912237895619,0.00506912237895619
"0","many2many","none","2.5%","var",1,"N",0.0197864378930575,0.0197864378930575
"0","many2many","none","50%","var",1,"N",0.0479851143310102,0.0479851143310102
"0","many2many","none","97.5%","var",1,"N",0.111445179616149,0.111445179616149
"0","many2many","none","mean","var",1,"N",0.0512206362638927,0.0512206362638927
"0","many2many","none","var","var",1,"N",0.000506515570836807,0.000506515570836807
"0","many2many","none","2.5%","mean",1,"rda",0.0390307879712944,0.0609333759283411
"0","many2many","none","50%","mean",1,"rda",0.052101982001995,0.0621134204567964
"0","many2many","none","97.5%","mean",1,"rda",0.0637739057393803,0.101202261239082
"0","many2many","none","mean","mean",1,"rda",0.0522388632601862,0.0754147524756841
"0","many2many","none","var","mean",1,"rda",3.17363785259218e-05,0.000581886076262522
"0","many2many","none","2.5%","var",1,"rda",8.97534486568211e-05,0.00458225559394706
"0","many2many","none","50%","var",1,"rda",0.000319746605828569,0.00798601531670653
"0","many2many","none","97.5%","var",1,"rda",0.000820011663223242,0.0156700194187387
"0","many2many","none","mean","var",1,"rda",0.000345323741815958,0.00948785544978467
"0","many2many","none","var","var",1,"rda",3.01738848373828e-08,3.574663082635e-05
"0","many2many","none","2.5%","mean",1,"S",-0.146736208672128,-0.0534508630678128
"0","many2many","none","50%","mean",1,"S",-0.00735925443502283,0.0249425417952929
"0","many2many","none","97.5%","mean",1,"S",0.151757633948388,0.0506184425137862
"0","many2many","none","mean","mean",1,"S",-0.00171548506854621,0.00644517191999029
"0","many2many","none","var","mean",1,"S",0.00750038947456767,0.00325673096361458
"0","many2many","none","2.5%","var",1,"S",0.0181024978758278,0.0612645851593567
"0","many2many","none","50%","var",1,"S",0.0492092919850817,0.0756522595392426
"0","many2many","none","97.5%","var",1,"S",0.0990195615048484,0.109927915805888
"0","many2many","none","mean","var",1,"S",0.052003021230432,0.0826304987977546
"0","many2many","none","var","var",1,"S",0.000525570001390802,0.000692510717670259
"0","many2many","none","2.5%","mean",2,"jaccard",-0.0715760742247548,-0.0385663925868816
"0","many2many","none","50%","mean",2,"jaccard",-0.00281110465758903,0.0385032367998054
"0","many2many","none","97.5%","mean",2,"jaccard",0.0927284259080629,0.065154019397558
"0","many2many","none","mean","mean",2,"jaccard",-0.00152749768035258,0.0208124133650916
"0","many2many","none","var","mean",2,"jaccard",0.00183532520635933,0.00321475823621345
"0","many2many","none","2.5%","var",2,"jaccard",0.00629925525405243,0.00931513674728268
"0","many2many","none","50%","var",2,"jaccard",0.0156337736499564,0.0203981281654704
"0","many2many","none","97.5%","var",2,"jaccard",0.038612315836499,0.0215359948417097
