"o","mra","mrb","stat","summary","env","measure","cor_a","cor_b"
"0.1","1","1","2.5%","mean",1,"jaccard",-0.190604897560925,0.292583440764677
"0.1","1","1","2.5%","mean",1,"N",-0.0981380937837803,-0.0981380937837803
"0.1","1","1","2.5%","mean",1,"rda",0.0201932308325415,0.143145290001077
"0.1","1","1","2.5%","mean",1,"S",-0.385414859870997,-0.818542602443486
"0.1","1","1","2.5%","mean",2,"jaccard",0.714458224865303,-0.0866077639445284
"0.1","1","1","2.5%","mean",2,"N",-0.158417996144007,-0.158417996144007
"0.1","1","1","2.5%","mean",2,"rda",0.234930464904727,0.0309361257047633
"0.1","1","1","2.5%","mean",2,"S",-0.721116921043748,-0.60700203733966
"0.1","1","1","2.5%","var",1,"jaccard",0.00022289688950353,0.000140284606680515
"0.1","1","1","2.5%","var",1,"N",0.0208776129728674,0.0208776129728674
"0.1","1","1","2.5%","var",1,"rda",1.40058807655791e-05,0.000230564275516082
"0.1","1","1","2.5%","var",1,"S",0.000623581661330633,0.000319916982377475
"0.1","1","1","2.5%","var",2,"jaccard",6.52616114969422e-05,0.000356977260379742
"0.1","1","1","2.5%","var",2,"N",0.0175666555073897,0.0175666555073897
"0.1","1","1","2.5%","var",2,"rda",0.000157387560692957,7.20875178541271e-05
"0.1","1","1","2.5%","var",2,"S",0.00039231597549862,0.000740319298201231
"0.1","1","1","50%","mean",1,"jaccard",-0.0413000214371216,0.676926934723677
"0.1","1","1","50%","mean",1,"N",0.00180376002748025,0.00180376002748025
"0.1","1","1","50%","mean",1,"rda",0.0445620085829517,0.295469609556074
"0.1","1","1","50%","mean",1,"S",0.0314137665895954,-0.137104204633795
"0.1","1","1","50%","mean",2,"jaccard",0.850721752440516,0.230384390622885
"0.1","1","1","50%","mean",2,"N",0.00656315921039476,0.00656315921039476
"0.1","1","1","50%","mean",2,"rda",0.35106870859711,0.110010374012919
"0.1","1","1","50%","mean",2,"S",0.0999503753041008,0.0245626357609009
"0.1","1","1","50%","var",1,"jaccard",0.000979295550812369,0.00122251407607015
"0.1","1","1","50%","var",1,"N",0.0483203173517524,0.0483203173517524
"0.1","1","1","50%","var",1,"rda",8.40841264517365e-05,0.00108015523002365
"0.1","1","1","50%","var",1,"S",0.00218731940742119,0.0030475108503662
"0.1","1","1","50%","var",2,"jaccard",0.000415842983956466,0.00169465427903561
"0.1","1","1","50%","var",2,"N",0.0471571803572624,0.0471571803572624
"0.1","1","1","50%","var",2,"rda",0.000654267047511745,0.000525278075121469
"0.1","1","1","50%","var",2,"S",0.00175071572227358,0.00308765692860151
"0.1","1","1","97.5%","mean",1,"jaccard",0.331707924022053,0.855655375106714
"0.1","1","1","97.5%","mean",1,"N",0.154782833220495,0.154782833220495
"0.1","1","1","97.5%","mean",1,"rda",0.12720185184374,0.499703129364979
"0.1","1","1","97.5%","mean",1,"S",0.44977632252824,0.631113838689151
"0.1","1","1","97.5%","mean",2,"jaccard",0.915705815967391,0.625537721978091
"0.1","1","1","97.5%","mean",2,"N",0.145640026299364,0.145640026299364
"0.1","1","1","97.5%","mean",2,"rda",0.476226477996794,0.253631477927534
"0.1","1","1","97.5%","mean",2,"S",0.776609546593498,0.4912094988356
"0.1","1","1","97.5%","var",1,"jaccard",0.00516980261394959,0.0061728143534017
"0.1","1","1","97.5%","var",1,"N",0.0992413786858795,0.0992413786858795
"0.1","1","1","97.5%","var",1,"rda",0.000336815908885516,0.00415733182354404
"0.1","1","1","97.5%","var",1,"S",0.00890471210561072,0.019024118166424
"0.1","1","1","97.5%","var",2,"jaccard",0.00173502477990952,0.00615681583991325
"0.1","1","1","97.5%","var",2,"N",0.122158093779066,0.122158093779066
"0.1","1","1","97.5%","var",2,"rda",0.00176526006344744,0.00183237196797147
"0.1","1","1","97.5%","var",2,"S",0.00915964402070238,0.0138643491990348
"0.1","1","1","mean","mean",1,"jaccard",-0.0101893135227757,0.653918906699269
"0.1","1","1","mean","mean",1,"N",0.00954026946179497,0.00954026946179497
"0.1","1","1","mean","mean",1,"rda",0.0532295080041402,0.30526488533776
"0.1","1","1","mean","mean",1,"S",0.0250022120567309,-0.0978475843386781
"0.1","1","1","mean","mean",2,"jaccard",0.840336323118498,0.232963737814117
"0.1","1","1","mean","mean",2,"N",-0.00383995998162116,-0.00383995998162116
"0.1","1","1","mean","mean",2,"rda",0.350025272321642,0.118653899477002
"0.1","1","1","mean","mean",2,"S",0.0572089442280284,0.029010589897458
"0.1","1","1","mean","var",1,"jaccard",0.00145931762073615,0.00162959868690149
"0.1","1","1","mean","var",1,"N",0.0516758409696054,0.0516758409696054
"0.1","1","1","mean","var",1,"rda",0.0001120230408989,0.00125865570813615
"0.1","1","1","mean","var",1,"S",0.00285695099113192,0.00459191328301679
"0.1","1","1","mean","var",2,"jaccard",0.000563177309122554,0.00213302251488149
"0.1","1","1","mean","var",2,"N",0.0518579694554352,0.0518579694554352
"0.1","1","1","mean","var",2,"rda",0.000740526558236451,0.000609112733127349
"0.1","1","1","mean","var",2,"S",0.00254904918168472,0.00412534815806672
"0.1","1","1","var","mean",1,"jaccard",0.0190662354990544,0.0216419828308604
"0.1","1","1","var","mean",1,"N",0.00549639622363319,0.00549639622363319
"0.1","1","1","var","mean",1,"rda",0.000877163119085679,0.00884436742481612
"0.1","1","1","var","mean",1,"S",0.0521214764988849,0.175532944071361
"0.1","1","1","var","mean",2,"jaccard",0.00372790255049008,0.0448185112737813
"0.1","1","1","var","mean",2,"N",0.0076236040176102,0.0076236040176102
"0.1","1","1","var","mean",2,"rda",0.00463108052773988,0.00358853834686126
"0.1","1","1","var","mean",2,"S",0.193269175682939,0.0852583164481676
"0.1","1","1","var","var",1,"jaccard",2.52861562235451e-06,2.28877831720982e-06
"0.1","1","1","var","var",1,"N",0.00049453730464563,0.00049453730464563
"0.1","1","1","var","var",1,"rda",1.00362972979012e-08,8.9564221625262e-07
"0.1","1","1","var","var",1,"S",5.10812957063291e-06,2.42183757406584e-05
"0.1","1","1","var","var",2,"jaccard",3.67278332403336e-07,2.93797117392503e-06
"0.1","1","1","var","var",2,"N",0.000610179274333461,0.000610179274333461
"0.1","1","1","var","var",2,"rda",2.24039969544389e-07,2.18775607330125e-07
"0.1","1","1","var","var",2,"S",5.22055421132718e-06,1.24908215292421e-05
"0.1","1","10","2.5%","mean",1,"jaccard",-0.200845640312548,0.326145422152286
"0.1","1","10","2.5%","mean",1,"N",-0.144514448217793,-0.144514448217793
"0.1","1","10","2.5%","mean",1,"rda",0.0220127661465657,0.129142722135394
"0.1","1","10","2.5%","mean",1,"S",-0.505634804651041,-0.760449733331484
"0.1","1","10","2.5%","mean",2,"jaccard",0.723426893075126,-0.0906448964293013
"0.1","1","10","2.5%","mean",2,"N",-0.110607246741431,-0.110607246741431
"0.1","1","10","2.5%","mean",2,"rda",0.251545487423363,0.0278648886662556
"0.1","1","10","2.5%","mean",2,"S",-0.819589440881015,-0.60088318786313
"0.1","1","10","2.5%","var",1,"jaccard",0.000213749385966022,0.000137487727135881
"0.1","1","10","2.5%","var",1,"N",0.0188105682467266,0.0188105682467266
"0.1","1","10","2.5%","var",1,"rda",1.98031405200606e-05,0.000217582485924526
"0.1","1","10","2.5%","var",1,"S",0.000424558690195375,0.000460415284137802
"0.1","1","10","2.5%","var",2,"jaccard",8.35229179337134e-05,0.000362725248641932
"0.1","1","10","2.5%","var",2,"N",0.0191986303553828,0.0191986303553828
"0.1","1","10","2.5%","var",2,"rda",0.000148074565251228,7.80660998853504e-05
"0.1","1","10","2.5%","var",2,"S",0.00025013276239059,0.000622219358720292
"0.1","1","10","50%","mean",1,"jaccard",-0.00633212747168999,0.676766280288841
"0.1","1","10","50%","mean",1,"N",-0.00678082699531271,-0.00678082699531271
"0.1","1","10","50%","mean",1,"rda",0.0466397901134468,0.323970630757749
"0.1","1","10","50%","mean",1,"S",0.0077510521632962,-0.0968213559331089
"0.1","1","10","50%","mean",2,"jaccard",0.852476255391359,0.216479136929571
"0.1","1","10","50%","mean",2,"N",0.00291256523204793,0.00291256523204793
"0.1","1","10","50%","mean",2,"rda",0.367865743324632,0.107294499173391
"0.1","1","10","50%","mean",2,"S",0.02204555849277,0.0235809835764223
"0.1","1","10","50%","var",1,"jaccard",0.000925720886236262,0.00130732854990539
"0.1","1","10","50%","var",1,"N",0.0499489421614086,0.0499489421614086
