"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.5","many2many","all","2.5%","mean",1,"jaccard",0.374396856223009,0.00059190455621839
"0.5","many2many","all","50%","mean",1,"jaccard",0.607094132662431,0.323945834300615
"0.5","many2many","all","97.5%","mean",1,"jaccard",0.755244214801107,0.68951357689616
"0.5","many2many","all","mean","mean",1,"jaccard",0.595357008798816,0.342517789200283
"0.5","many2many","all","var","mean",1,"jaccard",0.010703605121617,0.0374095462090807
"0.5","many2many","all","2.5%","var",1,"jaccard",0.000253476085522183,0.000296646165753587
"0.5","many2many","all","50%","var",1,"jaccard",0.000944761101128487,0.00422442511482387
"0.5","many2many","all","97.5%","var",1,"jaccard",0.00301987609013147,0.0280800119408456
"0.5","many2many","all","mean","var",1,"jaccard",0.0011152452902988,0.00706669506045745
"0.5","many2many","all","var","var",1,"jaccard",5.12578377659823e-07,6.5887253721927e-05
"0.5","many2many","all","2.5%","mean",1,"N",-0.356888720832942,-0.356888720832942
"0.5","many2many","all","50%","mean",1,"N",0.00586479168086776,0.00586479168086776
"0.5","many2many","all","97.5%","mean",1,"N",0.205971758626369,0.205971758626369
"0.5","many2many","all","mean","mean",1,"N",-0.0155575899347747,-0.0155575899347747
"0.5","many2many","all","var","mean",1,"N",0.02228404090414,0.02228404090414
"0.5","many2many","all","2.5%","var",1,"N",0.000560766775499109,0.000560766775499109
"0.5","many2many","all","50%","var",1,"N",0.0518761868296394,0.0518761868296394
"0.5","many2many","all","97.5%","var",1,"N",0.111935211637336,0.111935211637336
"0.5","many2many","all","mean","var",1,"N",0.053730202851804,0.053730202851804
"0.5","many2many","all","var","var",1,"N",0.000777277784742802,0.000777277784742802
"0.5","many2many","all","2.5%","mean",1,"rda",0.125466769499706,0.0429659937909934
"0.5","many2many","all","50%","mean",1,"rda",0.213887470857422,0.167749134186615
"0.5","many2many","all","97.5%","mean",1,"rda",0.330683521096147,0.383781528747205
"0.5","many2many","all","mean","mean",1,"rda",0.212719049125097,0.174903955700705
"0.5","many2many","all","var","mean",1,"rda",0.00272947610880728,0.00855499279808936
"0.5","many2many","all","2.5%","var",1,"rda",0.000128318634977202,0.000336432273490544
"0.5","many2many","all","50%","var",1,"rda",0.000333645513754252,0.00164056381593122
"0.5","many2many","all","97.5%","var",1,"rda",0.000813355244259404,0.0112731097835587
"0.5","many2many","all","mean","var",1,"rda",0.000379121003818553,0.00266608633539536
"0.5","many2many","all","var","var",1,"rda",3.6999053192659e-08,9.61334335402413e-06
"0.5","many2many","all","2.5%","mean",1,"S",-0.631110493729526,-0.673069632950045
