"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","all","2.5%","mean",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","50%","mean",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","97.5%","mean",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","mean","mean",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","var","mean",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","2.5%","var",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","50%","var",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","97.5%","var",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","mean","var",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","var","var",1,"jaccard",NA,NA
"0.25","0.25","many2many","all","2.5%","mean",1,"N",-0.529797991001223,-0.529797991001223
"0.25","0.25","many2many","all","50%","mean",1,"N",-0.0187725141681284,-0.0187725141681284
"0.25","0.25","many2many","all","97.5%","mean",1,"N",0.511768484255687,0.511768484255687
"0.25","0.25","many2many","all","mean","mean",1,"N",0.00426102361113336,0.00426102361113336
"0.25","0.25","many2many","all","var","mean",1,"N",0.0763493786291323,0.0763493786291323
"0.25","0.25","many2many","all","2.5%","var",1,"N",9.32065807756009e-06,9.32065807756009e-06
"0.25","0.25","many2many","all","50%","var",1,"N",0.00314325026167031,0.00314325026167031
"0.25","0.25","many2many","all","97.5%","var",1,"N",0.0220946147774333,0.0220946147774333
"0.25","0.25","many2many","all","mean","var",1,"N",0.00492268560191023,0.00492268560191023
"0.25","0.25","many2many","all","var","var",1,"N",3.05158631444972e-05,3.05158631444972e-05
"0.25","0.25","many2many","all","2.5%","mean",1,"rda",0.0191378905294522,0.0191998287435841
"0.25","0.25","many2many","all","50%","mean",1,"rda",0.0672723230388599,0.0742972987159109
"0.25","0.25","many2many","all","97.5%","mean",1,"rda",0.137696492395887,0.16238207947481
"0.25","0.25","many2many","all","mean","mean",1,"rda",0.0702963947269624,0.080709217254995
"0.25","0.25","many2many","all","var","mean",1,"rda",0.000986974100731403,0.00162759709007305
"0.25","0.25","many2many","all","2.5%","var",1,"rda",3.03131562082042e-06,3.43552609814742e-06
"0.25","0.25","many2many","all","50%","var",1,"rda",6.90213578717632e-05,0.000110141390695622
"0.25","0.25","many2many","all","97.5%","var",1,"rda",0.000679281687272004,0.00099385396634436
"0.25","0.25","many2many","all","mean","var",1,"rda",0.000134761781358239,0.000225055817742315
"0.25","0.25","many2many","all","var","var",1,"rda",3.1961882418946e-08,7.99607555506315e-08
"0.25","0.25","many2many","all","2.5%","mean",1,"S",-0.458372795707643,-0.405553428845063
"0.25","0.25","many2many","all","50%","mean",1,"S",0.0260699268580859,0.0201574265411534
"0.25","0.25","many2many","all","97.5%","mean",1,"S",0.42534795771894,0.4021856917295
"0.25","0.25","many2many","all","mean","mean",1,"S",0.00958066627047853,0.0203439872305168
"0.25","0.25","many2many","all","var","mean",1,"S",0.0524267121192012,0.056458148895222
"0.25","0.25","many2many","all","2.5%","var",1,"S",0.000157095930002664,0.000217869803259039
"0.25","0.25","many2many","all","50%","var",1,"S",0.000623558040573004,0.000907787889868479
"0.25","0.25","many2many","all","97.5%","var",1,"S",0.00310530143938457,0.00382985499114576
"0.25","0.25","many2many","all","mean","var",1,"S",0.000784621364149239,0.00117748125800807
"0.25","0.25","many2many","all","var","var",1,"S",5.00485993143161e-07,8.946701780356e-07
"0.25","0.25","many2many","all","2.5%","mean",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","50%","mean",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","97.5%","mean",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","mean","mean",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","var","mean",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","2.5%","var",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","50%","var",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","97.5%","var",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","mean","var",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","var","var",2,"jaccard",NA,NA
"0.25","0.25","many2many","all","2.5%","mean",2,"N",-0.49809973390544,-0.49809973390544
"0.25","0.25","many2many","all","50%","mean",2,"N",0.0672774193287698,0.0672774193287698
"0.25","0.25","many2many","all","97.5%","mean",2,"N",0.516243021200259,0.516243021200259
"0.25","0.25","many2many","all","mean","mean",2,"N",0.0379776848142764,0.0379776848142764
"0.25","0.25","many2many","all","var","mean",2,"N",0.0765707390128361,0.0765707390128361
"0.25","0.25","many2many","all","2.5%","var",2,"N",1.56348190783174e-05,1.56348190783174e-05
"0.25","0.25","many2many","all","50%","var",2,"N",0.00275057699169217,0.00275057699169217
"0.25","0.25","many2many","all","97.5%","var",2,"N",0.0264549275712771,0.0264549275712771
"0.25","0.25","many2many","all","mean","var",2,"N",0.00513770565347727,0.00513770565347727
"0.25","0.25","many2many","all","var","var",2,"N",4.15883483579725e-05,4.15883483579725e-05
