"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","all","2.5%","mean",1,"jaccard",0.345161315202225,0.264700594043468
"0.25","0.25","many2many","all","2.5%","mean",1,"N",-0.694232208403845,-0.694232208403845
"0.25","0.25","many2many","all","2.5%","mean",1,"rda",0.0639673811544641,0.0285156814596726
"0.25","0.25","many2many","all","2.5%","mean",1,"S",-0.6716260133185,-0.504864392449061
"0.25","0.25","many2many","all","2.5%","mean",2,"jaccard",0.34527225721644,0.216044355667952
"0.25","0.25","many2many","all","2.5%","mean",2,"N",-0.533243582902458,-0.533243582902458
"0.25","0.25","many2many","all","2.5%","mean",2,"rda",0.0489613806346052,0.0265564332001653
"0.25","0.25","many2many","all","2.5%","mean",2,"S",-0.57495185894046,-0.461034111170729
"0.25","0.25","many2many","all","2.5%","var",1,"jaccard",9.9711402139037e-05,8.65240624228544e-05
"0.25","0.25","many2many","all","2.5%","var",1,"N",6.19165919176227e-05,6.19165919176227e-05
"0.25","0.25","many2many","all","2.5%","var",1,"rda",1.4636193864061e-05,1.16833562555177e-05
"0.25","0.25","many2many","all","2.5%","var",1,"S",0.000152062589831953,0.000259157098583963
"0.25","0.25","many2many","all","2.5%","var",2,"jaccard",7.56586922399607e-05,8.11831158235651e-05
"0.25","0.25","many2many","all","2.5%","var",2,"N",6.57865561274334e-05,6.57865561274334e-05
"0.25","0.25","many2many","all","2.5%","var",2,"rda",1.84483436126191e-05,1.17081724210311e-05
"0.25","0.25","many2many","all","2.5%","var",2,"S",9.81133047638642e-05,0.000165525354220367
"0.25","0.25","many2many","all","50%","mean",1,"jaccard",0.498964777259455,0.418734144197173
"0.25","0.25","many2many","all","50%","mean",1,"N",0.0119662199959485,0.0119662199959485
"0.25","0.25","many2many","all","50%","mean",1,"rda",0.136827530759562,0.0902697319591232
"0.25","0.25","many2many","all","50%","mean",1,"S",0.0285251220470466,0.0117289514310071
"0.25","0.25","many2many","all","50%","mean",2,"jaccard",0.499933420652857,0.416865043612283
"0.25","0.25","many2many","all","50%","mean",2,"N",0.0319049706009964,0.0319049706009964
"0.25","0.25","many2many","all","50%","mean",2,"rda",0.141475313398589,0.0917828984423841
"0.25","0.25","many2many","all","50%","mean",2,"S",0.0247079052021854,-0.0272550959532222
"0.25","0.25","many2many","all","50%","var",1,"jaccard",0.000349889018091717,0.000500261783680276
"0.25","0.25","many2many","all","50%","var",1,"N",0.00892303206774686,0.00892303206774686
"0.25","0.25","many2many","all","50%","var",1,"rda",0.000131715134011242,0.000187050157035722
"0.25","0.25","many2many","all","50%","var",1,"S",0.000636620383844989,0.00111311583771119
"0.25","0.25","many2many","all","50%","var",2,"jaccard",0.000369619981626428,0.000570917781650818
"0.25","0.25","many2many","all","50%","var",2,"N",0.0104632146858023,0.0104632146858023
"0.25","0.25","many2many","all","50%","var",2,"rda",0.000119328574784713,0.000146703290801621
"0.25","0.25","many2many","all","50%","var",2,"S",0.000538568445256453,0.0010871710699269
"0.25","0.25","many2many","all","97.5%","mean",1,"jaccard",0.610994960059911,0.547657037311246
"0.25","0.25","many2many","all","97.5%","mean",1,"N",0.664965573252619,0.664965573252619
"0.25","0.25","many2many","all","97.5%","mean",1,"rda",0.227953971050813,0.236857441642089
"0.25","0.25","many2many","all","97.5%","mean",1,"S",0.578986768032172,0.568396797461947
"0.25","0.25","many2many","all","97.5%","mean",2,"jaccard",0.64434060103883,0.585537898686887
"0.25","0.25","many2many","all","97.5%","mean",2,"N",0.608803834688572,0.608803834688572
"0.25","0.25","many2many","all","97.5%","mean",2,"rda",0.244897857029399,0.218926963658388
"0.25","0.25","many2many","all","97.5%","mean",2,"S",0.524451040944951,0.48310169363308
"0.25","0.25","many2many","all","97.5%","var",1,"jaccard",0.00210497038129373,0.0018145666706082
"0.25","0.25","many2many","all","97.5%","var",1,"N",0.0879359051277835,0.0879359051277835
"0.25","0.25","many2many","all","97.5%","var",1,"rda",0.000564962441473835,0.00127344729966426
"0.25","0.25","many2many","all","97.5%","var",1,"S",0.00227710502468873,0.00553606821990571
"0.25","0.25","many2many","all","97.5%","var",2,"jaccard",0.00104299115338402,0.00196493090197507
"0.25","0.25","many2many","all","97.5%","var",2,"N",0.0590045282466509,0.0590045282466509
"0.25","0.25","many2many","all","97.5%","var",2,"rda",0.000518486631163785,0.000938826026838206
"0.25","0.25","many2many","all","97.5%","var",2,"S",0.00177307170083929,0.00394610698934488
"0.25","0.25","many2many","all","mean","mean",1,"jaccard",0.495928464088907,0.412182563127224
"0.25","0.25","many2many","all","mean","mean",1,"N",0.00682975052447356,0.00682975052447356
"0.25","0.25","many2many","all","mean","mean",1,"rda",0.141583086847415,0.105199272436304
"0.25","0.25","many2many","all","mean","mean",1,"S",0.00488029932271416,-0.00291702664935515
"0.25","0.25","many2many","all","mean","mean",2,"jaccard",0.494013248898672,0.412914471960036
"0.25","0.25","many2many","all","mean","mean",2,"N",0.0351265124018026,0.0351265124018026
"0.25","0.25","many2many","all","mean","mean",2,"rda",0.144364229631193,0.104112874516334
"0.25","0.25","many2many","all","mean","mean",2,"S",0.0109560232726746,-0.00400523095700428
"0.25","0.25","many2many","all","mean","var",1,"jaccard",0.000531901192201091,0.000685248624311833
"0.25","0.25","many2many","all","mean","var",1,"N",0.0194080221418472,0.0194080221418472
"0.25","0.25","many2many","all","mean","var",1,"rda",0.000192896583462181,0.000295329383843782
"0.25","0.25","many2many","all","mean","var",1,"S",0.000841709095397494,0.00143822231839188
"0.25","0.25","many2many","all","mean","var",2,"jaccard",0.000417030653830338,0.000734123361778961
"0.25","0.25","many2many","all","mean","var",2,"N",0.0157878626793607,0.0157878626793607
"0.25","0.25","many2many","all","mean","var",2,"rda",0.000164396035061718,0.000248785669554863
"0.25","0.25","many2many","all","mean","var",2,"S",0.000698855245794987,0.00132570140502489
"0.25","0.25","many2many","all","var","mean",1,"jaccard",0.00605747390135485,0.0069331065059891
"0.25","0.25","many2many","all","var","mean",1,"N",0.155647507652089,0.155647507652089
"0.25","0.25","many2many","all","var","mean",1,"rda",0.00182900696263344,0.00374831471926501
"0.25","0.25","many2many","all","var","mean",1,"S",0.0983681986861503,0.0715153645174316
"0.25","0.25","many2many","all","var","mean",2,"jaccard",0.00657366593872172,0.00873719778018775
"0.25","0.25","many2many","all","var","mean",2,"N",0.10650084715455,0.10650084715455
"0.25","0.25","many2many","all","var","mean",2,"rda",0.00243568781886849,0.00306271484974057
"0.25","0.25","many2many","all","var","mean",2,"S",0.0789998451936019,0.0644150601172249
"0.25","0.25","many2many","all","var","var",1,"jaccard",3.34861718840884e-07,6.02747747375637e-07
"0.25","0.25","many2many","all","var","var",1,"N",0.000782346092322125,0.000782346092322125
"0.25","0.25","many2many","all","var","var",1,"rda",4.9556533482843e-08,1.24603818802826e-07
"0.25","0.25","many2many","all","var","var",1,"S",7.14146611048507e-07,1.50519188169598e-06
"0.25","0.25","many2many","all","var","var",2,"jaccard",7.34706143453099e-08,3.1359493256543e-07
"0.25","0.25","many2many","all","var","var",2,"N",0.000316173483734608,0.000316173483734608
"0.25","0.25","many2many","all","var","var",2,"rda",2.24454165518295e-08,1.06650400237139e-07
"0.25","0.25","many2many","all","var","var",2,"S",2.22435450124078e-07,1.28618636775752e-06
"0.25","0.25","many2many","none","2.5%","mean",1,"jaccard",-0.0705153321117337,0.00330924583830215
"0.25","0.25","many2many","none","2.5%","mean",1,"N",-0.151838120275268,-0.151838120275268
"0.25","0.25","many2many","none","2.5%","mean",1,"rda",0.0451055213719797,0.0430000655662452
"0.25","0.25","many2many","none","2.5%","mean",1,"S",-0.145557513532643,-0.0591624087992487
"0.25","0.25","many2many","none","2.5%","mean",2,"jaccard",-0.0648469281373633,-0.0156011623419862
"0.25","0.25","many2many","none","2.5%","mean",2,"N",-0.122301767812262,-0.122301767812262
"0.25","0.25","many2many","none","2.5%","mean",2,"rda",0.0410134002951,0.0427781228336328
"0.25","0.25","many2many","none","2.5%","mean",2,"S",-0.133896884937302,-0.154023359761641
"0.25","0.25","many2many","none","2.5%","var",1,"jaccard",0.00569779238890492,0.0221751903809968
"0.25","0.25","many2many","none","2.5%","var",1,"N",0.0147433551047617,0.0147433551047617
"0.25","0.25","many2many","none","2.5%","var",1,"rda",0.000117753281691987,0.00111921492136584
"0.25","0.25","many2many","none","2.5%","var",1,"S",0.0163059812624458,0.0467631655466655
"0.25","0.25","many2many","none","2.5%","var",2,"jaccard",0.00425232216562504,0.00896188826470614
"0.25","0.25","many2many","none","2.5%","var",2,"N",0.0151549323352182,0.0151549323352182
"0.25","0.25","many2many","none","2.5%","var",2,"rda",8.73351709595736e-05,0.00178354469203219
"0.25","0.25","many2many","none","2.5%","var",2,"S",0.0183513754254375,0.0295871760150997
"0.25","0.25","many2many","none","50%","mean",1,"jaccard",0.0120906882652005,0.0212664830958111
"0.25","0.25","many2many","none","50%","mean",1,"N",-0.00369303738187628,-0.00369303738187628
"0.25","0.25","many2many","none","50%","mean",1,"rda",0.0530587807726972,0.0517965568517061
"0.25","0.25","many2many","none","50%","mean",1,"S",-0.00259618544007357,0.0246378408702128
"0.25","0.25","many2many","none","50%","mean",2,"jaccard",-0.00315392457609569,-0.0115478926857196
"0.25","0.25","many2many","none","50%","mean",2,"N",0.00532656868016356,0.00532656868016356
"0.25","0.25","many2many","none","50%","mean",2,"rda",0.0515378952621952,0.0543433804242414
"0.25","0.25","many2many","none","50%","mean",2,"S",0.00198519549202841,-0.0826629700558337
"0.25","0.25","many2many","none","50%","var",1,"jaccard",0.0176773750605811,0.0354241301554302
"0.25","0.25","many2many","none","50%","var",1,"N",0.0521580393824177,0.0521580393824177
"0.25","0.25","many2many","none","50%","var",1,"rda",0.000337910101431756,0.00446140790768418
"0.25","0.25","many2many","none","50%","var",1,"S",0.0528569629254465,0.0579652798047842
"0.25","0.25","many2many","none","50%","var",2,"jaccard",0.0156555127741938,0.00910973355203229
"0.25","0.25","many2many","none","50%","var",2,"N",0.0523721995627165,0.0523721995627165
"0.25","0.25","many2many","none","50%","var",2,"rda",0.000295864770649924,0.00237077073930922
"0.25","0.25","many2many","none","50%","var",2,"S",0.0499638812921313,0.0413754754721948
"0.25","0.25","many2many","none","97.5%","mean",1,"jaccard",0.0694822847806673,0.0392237203533201
"0.25","0.25","many2many","none","97.5%","mean",1,"N",0.16093900905071,0.16093900905071
"0.25","0.25","many2many","none","97.5%","mean",1,"rda",0.0643246029796467,0.0605930481371669
"0.25","0.25","many2many","none","97.5%","mean",1,"S",0.138677824169183,0.108438090539674
"0.25","0.25","many2many","none","97.5%","mean",2,"jaccard",0.0840224091027212,-0.00749462302945294
"0.25","0.25","many2many","none","97.5%","mean",2,"N",0.119559184452356,0.119559184452356
"0.25","0.25","many2many","none","97.5%","mean",2,"rda",0.0626593546420912,0.0659086380148501
"0.25","0.25","many2many","none","97.5%","mean",2,"S",0.124995484100684,-0.0113025803500264
"0.25","0.25","many2many","none","97.5%","var",1,"jaccard",0.0451757446710512,0.0486730699298635
"0.25","0.25","many2many","none","97.5%","var",1,"N",0.105039557350283,0.105039557350283
"0.25","0.25","many2many","none","97.5%","var",1,"rda",0.000700896828801215,0.00780360089400251
"0.25","0.25","many2many","none","97.5%","var",1,"S",0.0958827653087287,0.0691673940629029
"0.25","0.25","many2many","none","97.5%","var",2,"jaccard",0.0407941639853712,0.00925757883935843
"0.25","0.25","many2many","none","97.5%","var",2,"N",0.102827601255851,0.102827601255851
"0.25","0.25","many2many","none","97.5%","var",2,"rda",0.000990368515743168,0.00295799678658625
"0.25","0.25","many2many","none","97.5%","var",2,"S",0.104692798292969,0.0531637749292899
"0.25","0.25","many2many","none","mean","mean",1,"jaccard",0.00814549348068091,0.0212664830958111
"0.25","0.25","many2many","none","mean","mean",1,"N",-0.000954026381965186,-0.000954026381965186
"0.25","0.25","many2many","none","mean","mean",1,"rda",0.0534990685977822,0.0517965568517061
"0.25","0.25","many2many","none","mean","mean",1,"S",-0.00469230399698627,0.0246378408702128
"0.25","0.25","many2many","none","mean","mean",2,"jaccard",0.0033680604310213,-0.0115478926857196
